Precinct,County,Registered Voters,Allen Booker (I) (Dem)_Election Day Votes,Allen Booker (I) (Dem)_Advanced Voting Votes,Allen Booker (I) (Dem)_Absentee by Mail Votes,Allen Booker (I) (Dem)_Provisional Votes,Allen Booker (I) (Dem)_Choice Total,Total,
College Place UMC,Glynn,2367,50,129,125,0,304,304,
Howard Coffin Park,Glynn,3320,247,703,417,2,1369,1369,
Urbana-Perry Parks,Glynn,3638,323,744,491,2,1560,1560,
Selden Park,Glynn,1439,110,244,170,2,526,526,
