index,County,Precinct,Registered Voters,Beverly Logan (I) (Dem)_Election Day Votes,Beverly Logan (I) (Dem)_Advanced Voting Votes,Beverly Logan (I) (Dem)_Absentee by Mail Votes,Beverly Logan (I) (Dem)_Provisional Votes,Beverly Logan (I) (Dem)_Choice Total,Total,
0,Clarke,1A,3017,444,602,555,3,1604,1604,
1,Clarke,1B,3645,270,948,863,3,2084,2084,
2,Clarke,1C,2242,227,694,649,0,1570,1570,
3,Clarke,1D,2830,263,796,885,0,1944,1944,
4,Clarke,2A,4341,537,829,730,1,2097,2097,
5,Clarke,2B,5136,491,1205,742,3,2441,2441,
6,Clarke,3A,2938,292,623,452,5,1372,1372,
7,Clarke,3B,4122,336,1100,584,3,2023,2023,
8,Clarke,4A,2072,222,579,373,1,1175,1175,
9,Clarke,4B,4096,400,1279,696,2,2377,2377,
10,Clarke,5A,3007,247,1064,706,0,2017,2017,
11,Clarke,5B,3030,312,787,754,1,1854,1854,
12,Clarke,5C,2053,162,801,477,1,1441,1441,
13,Clarke,5D,3087,375,749,500,4,1628,1628,
14,Clarke,6A,3780,329,998,831,4,2162,2162,
15,Clarke,6B,3865,337,1007,978,1,2323,2323,
16,Clarke,6C,3129,285,845,788,0,1918,1918,
17,Clarke,6D,1701,182,532,428,0,1142,1142,
18,Clarke,7A,2968,291,847,713,1,1852,1852,
19,Clarke,7B,3166,249,902,743,2,1896,1896,
20,Clarke,7C,2733,282,848,640,1,1771,1771,
21,Clarke,8A,3319,269,802,796,3,1870,1870,
22,Clarke,8B,2317,252,545,570,0,1367,1367,
23,Clarke,8C,3910,399,1005,826,3,2233,2233,
