Precinct,County,Registered Voters,Jackie Johnson (I) (Rep)_Election Day Votes,Jackie Johnson (I) (Rep)_Advanced Voting Votes,Jackie Johnson (I) (Rep)_Absentee by Mail Votes,Jackie Johnson (I) (Rep)_Provisional Votes,Jackie Johnson (I) (Rep)_Choice Total,Keith Higgins (Ind)_Election Day Votes,Keith Higgins (Ind)_Advanced Voting Votes,Keith Higgins (Ind)_Absentee by Mail Votes,Keith Higgins (Ind)_Provisional Votes,Keith Higgins (Ind)_Choice Total,Total,
1B,Appling,1309,134,318,85,0,537,126,200,76,0,402,939,
1C,Appling,848,98,242,48,2,390,88,117,26,0,231,621,
2,Appling,2251,117,226,64,0,407,160,442,263,2,867,1274,
3A1,Appling,793,169,203,51,0,423,63,87,16,0,166,589,
3C,Appling,1566,71,426,98,0,595,80,268,125,0,473,1068,
4B,Appling,866,195,241,57,0,493,52,79,18,0,149,642,
4D,Appling,1493,164,474,126,1,765,92,210,61,0,363,1128,
5A,Appling,1147,86,312,77,1,476,66,180,46,2,294,770,
5B,Appling,1126,110,252,73,1,436,118,192,52,2,364,800,
