Precinct,County,Registered Voters,Blake Tillery (I) (Rep)_Election Day Votes,Blake Tillery (I) (Rep)_Advanced Voting Votes,Blake Tillery (I) (Rep)_Absentee by Mail Votes,Blake Tillery (I) (Rep)_Provisional Votes,Blake Tillery (I) (Rep)_Choice Total,Total,
1B,Appling,1309,244,496,133,0,873,873,
1C,Appling,848,175,340,71,2,588,588,
2,Appling,2251,212,490,177,1,880,880,
3A1,Appling,793,218,281,57,0,556,556,
3C,Appling,1566,136,642,167,0,945,945,
4B,Appling,866,243,316,72,0,631,631,
4D,Appling,1493,244,640,170,1,1055,1055,
5A,Appling,1147,141,456,109,3,709,709,
5B,Appling,1126,208,409,113,3,733,733,
