Precinct,County,Registered Voters,Greg Morris (I) (Rep)_Election Day Votes,Greg Morris (I) (Rep)_Advanced Voting Votes,Greg Morris (I) (Rep)_Absentee by Mail Votes,Greg Morris (I) (Rep)_Provisional Votes,Greg Morris (I) (Rep)_Choice Total,Total,
1B,Appling,1309,246,495,135,0,876,876,
1C,Appling,848,174,347,71,2,594,594,
2,Appling,2251,221,501,179,2,903,903,
3A1,Appling,793,223,283,56,0,562,562,
3C,Appling,1566,115,545,127,0,787,787,
5A,Appling,1147,147,463,111,3,724,724,
5B,Appling,1126,210,419,114,3,746,746,
