Precinct,County,Registered Voters,"Merlin Jerry Tomberlin, Jr. (I) (Rep)_Election Day Votes","Merlin Jerry Tomberlin, Jr. (I) (Rep)_Advanced Voting Votes","Merlin Jerry Tomberlin, Jr. (I) (Rep)_Absentee by Mail Votes","Merlin Jerry Tomberlin, Jr. (I) (Rep)_Provisional Votes","Merlin Jerry Tomberlin, Jr. (I) (Rep)_Choice Total",Total,
1B,Appling,1309,244,509,138,1,892,892,
1C,Appling,848,177,345,72,2,596,596,
2,Appling,2251,233,548,216,2,999,999,
3A1,Appling,793,222,278,57,0,557,557,
3C,Appling,1566,138,659,172,0,969,969,
4B,Appling,866,245,318,74,0,637,637,
4D,Appling,1493,247,641,176,1,1065,1065,
5A,Appling,1147,148,469,110,3,730,730,
5B,Appling,1126,207,414,116,3,740,740,
