Precinct,County,Registered Voters,Scott C. Chastain (I) (Rep)_Election Day Votes,Scott C. Chastain (I) (Rep)_Advanced Voting Votes,Scott C. Chastain (I) (Rep)_Absentee by Mail Votes,Scott C. Chastain (I) (Rep)_Provisional Votes,Scott C. Chastain (I) (Rep)_Choice Total,Total,
Ellijay South,Gilmer,3172,393,1181,388,2,1964,1964,
Cartecay,Gilmer,1598,408,492,201,2,1103,1103,
Tails Creek,Gilmer,1782,469,474,146,0,1089,1089,
Town Creek,Gilmer,1234,322,341,107,0,770,770,
Leaches,Gilmer,2939,557,985,341,2,1885,1885,
Cherry Log,Gilmer,926,268,241,116,0,625,625,
Boardtown,Gilmer,1391,302,509,204,3,1018,1018,
Mountaintown,Gilmer,1139,278,369,129,1,777,777,
East Ellijay,Gilmer,1655,254,640,222,0,1116,1116,
Ellijay North,Gilmer,1810,291,615,204,1,1111,1111,
Yukon,Gilmer,1288,366,362,124,0,852,852,
Big Creek,Gilmer,1479,376,413,196,0,985,985,
Ellijay Northeast,Gilmer,1851,240,718,228,0,1186,1186,
