Precinct,County,Registered Voters,Trey Rhodes (I) (Rep)_Election Day Votes,Trey Rhodes (I) (Rep)_Advanced Voting Votes,Trey Rhodes (I) (Rep)_Absentee by Mail Votes,Trey Rhodes (I) (Rep)_Provisional Votes,Trey Rhodes (I) (Rep)_Choice Total,Total,
Greensboro,Greene,3999,290,1401,440,3,2134,2134,
Union Point,Greene,1873,233,522,216,0,971,971,
Siloam,Greene,991,129,292,110,0,531,531,
White Plains,Greene,347,48,124,36,0,208,208,
Old Salem,Greene,6961,526,3730,1215,3,5474,5474,
