Precinct,County,Registered Voters,Jeffery Smith (I) (Rep)_Election Day Votes,Jeffery Smith (I) (Rep)_Advanced Voting Votes,Jeffery Smith (I) (Rep)_Absentee by Mail Votes,Jeffery Smith (I) (Rep)_Provisional Votes,Jeffery Smith (I) (Rep)_Choice Total,Total,
Greensboro,Greene,3999,91,447,131,2,671,671,
Union Point,Greene,1873,103,282,105,0,490,490,
Old Salem,Greene,6961,71,570,131,0,772,772,
