Precinct,County,Registered Voters,B. Jeff Smith (I) (Rep)_Election Day Votes,B. Jeff Smith (I) (Rep)_Advanced Voting Votes,B. Jeff Smith (I) (Rep)_Absentee by Mail Votes,B. Jeff Smith (I) (Rep)_Provisional Votes,B. Jeff Smith (I) (Rep)_Choice Total,Total,
Greensboro,Greene,3999,287,1410,458,4,2159,2159,
Union Point,Greene,1873,243,535,230,0,1008,1008,
Siloam,Greene,991,128,299,114,0,541,541,
White Plains,Greene,347,48,126,38,0,212,212,
Old Salem,Greene,6961,525,3733,1223,3,5484,5484,
