Precinct,County,Registered Voters,Calvin Smyre (I) (Dem)_Election Day Votes,Calvin Smyre (I) (Dem)_Advanced Voting Votes,Calvin Smyre (I) (Dem)_Absentee by Mail Votes,Calvin Smyre (I) (Dem)_Provisional Votes,Calvin Smyre (I) (Dem)_Choice Total,Total,
Wynnton/Britt,Muscogee,5289,398,1332,854,0,2584,2584,
Carver/Mack,Muscogee,4374,263,1163,851,0,2277,2277,
Columbus Tech,Muscogee,4464,371,767,425,0,1563,1563,
Cusseta Rd,Muscogee,6169,307,505,368,3,1183,1183,
Our Lady of Lourdes,Muscogee,10204,380,814,615,3,1812,1812,
First African,Muscogee,1955,133,348,284,4,769,769,
Epworth UMC,Muscogee,4512,194,494,333,0,1021,1021,
Marianna Gallops,Muscogee,3095,247,579,367,5,1198,1198,
