Precinct,County,Registered Voters,Suzanne Goddard (I) (Dem)_Election Day Votes,Suzanne Goddard (I) (Dem)_Advanced Voting Votes,Suzanne Goddard (I) (Dem)_Absentee by Mail Votes,Suzanne Goddard (I) (Dem)_Provisional Votes,Suzanne Goddard (I) (Dem)_Choice Total,Total,
Wynnton/Britt,Muscogee,5289,400,1341,834,0,2575,2575,
Carver/Mack,Muscogee,4374,263,1139,831,0,2233,2233,
St John/Belvedere,Muscogee,5341,296,1727,1150,2,3175,3175,
Britt David,Muscogee,2747,325,683,322,0,1330,1330,
St Peter,Muscogee,3265,360,852,451,1,1664,1664,
Cornerstone,Muscogee,6684,639,1836,872,1,3348,3348,
Columbus Tech,Muscogee,4464,384,790,424,0,1598,1598,
St Mark/Heiferhorn,Muscogee,6492,504,2046,975,8,3533,3533,
Wynnbrook,Muscogee,2692,215,807,529,0,1551,1551,
Cusseta Rd,Muscogee,6169,541,1222,853,3,2619,2619,
Our Lady of Lourdes,Muscogee,10204,713,1808,1366,3,3890,3890,
Mt Pilgrim,Muscogee,6022,450,1890,1165,1,3506,3506,
Faith Tabernacle,Muscogee,4461,372,1416,859,0,2647,2647,
Canaan,Muscogee,7078,481,1921,1180,0,3582,3582,
Holsey/Buena Vista,Muscogee,7613,502,2327,1300,0,4129,4129,
Gentian/Reese,Muscogee,5612,488,1490,795,0,2773,2773,
St Paul/Clubview,Muscogee,5677,458,1732,861,0,3051,3051,
Moon/Morningside,Muscogee,5415,533,1412,770,1,2716,2716,
St Andrews/Midland,Muscogee,7959,733,2323,1271,0,4327,4327,
Salvation Army,Muscogee,3192,316,888,449,0,1653,1653,
First African,Muscogee,1955,138,355,286,4,783,783,
Epworth UMC,Muscogee,4512,416,916,529,0,1861,1861,
Marianna Gallops,Muscogee,3095,251,590,358,5,1204,1204,
Edgewood Baptist,Muscogee,3235,268,913,493,2,1676,1676,
Psalmond/Mathews,Muscogee,7331,460,2533,1288,1,4282,4282,
