Precinct,County,Registered Voters,Debbie G. Buckner (I) (Dem)_Election Day Votes,Debbie G. Buckner (I) (Dem)_Advanced Voting Votes,Debbie G. Buckner (I) (Dem)_Absentee by Mail Votes,Debbie G. Buckner (I) (Dem)_Provisional Votes,Debbie G. Buckner (I) (Dem)_Choice Total,Total,
Faith Tabernacle,Muscogee,4461,374,1431,878,0,2683,2683,
Canaan,Muscogee,7078,206,962,697,0,1865,1865,
Holsey/Buena Vista,Muscogee,7613,409,1947,1101,0,3457,3457,
Psalmond/Mathews,Muscogee,7331,440,2480,1302,1,4223,4223,
