Precinct,County,Registered Voters,Randy Robertson (I) (Rep)_Election Day Votes,Randy Robertson (I) (Rep)_Advanced Voting Votes,Randy Robertson (I) (Rep)_Absentee by Mail Votes,Randy Robertson (I) (Rep)_Provisional Votes,Randy Robertson (I) (Rep)_Choice Total,Total,
Britt David,Muscogee,2747,389,730,277,0,1396,1396,
St Peter,Muscogee,3265,448,932,404,2,1786,1786,
Cornerstone,Muscogee,6684,796,2042,812,0,3650,3650,
Columbus Tech,Muscogee,4464,260,583,224,0,1067,1067,
St Mark/Heiferhorn,Muscogee,6492,657,2480,909,9,4055,4055,
Wynnbrook,Muscogee,2692,281,967,554,1,1803,1803,
Gentian/Reese,Muscogee,5612,575,1437,629,0,2641,2641,
St Paul/Clubview,Muscogee,5677,103,345,128,0,576,576,
Moon/Morningside,Muscogee,5415,618,1569,700,1,2888,2888,
St Andrews/Midland,Muscogee,7959,871,2433,1104,0,4408,4408,
Salvation Army,Muscogee,3192,356,907,362,0,1625,1625,
Epworth UMC,Muscogee,4512,235,480,208,0,923,923,
Psalmond/Mathews,Muscogee,7331,545,2603,1026,0,4174,4174,
