index,County,Precinct,Registered Voters,Brian Anderson (I) (Rep)_Election Day Votes,Brian Anderson (I) (Rep)_Advanced Voting Votes,Brian Anderson (I) (Rep)_Absentee by Mail Votes,Brian Anderson (I) (Rep)_Provisional Votes,Brian Anderson (I) (Rep)_Choice Total,Total,
0,Fayette,Blackrock,2699,161,689,365,9,1224,1224,
1,Fayette,Brooks,2567,553,1029,367,0,1949,1949,
2,Fayette,Europe,3310,162,758,391,7,1318,1318,
3,Fayette,Fayetteville East,2147,156,602,276,4,1038,1038,
4,Fayette,Fayetteville West,2362,175,719,330,0,1224,1224,
5,Fayette,Flint,1732,176,459,195,0,830,830,
6,Fayette,Hopeful,2309,246,629,250,0,1125,1125,
7,Fayette,Morning Creek,3059,193,913,517,1,1624,1624,
8,Fayette,Rareover,3045,179,1481,278,3,1941,1941,
9,Fayette,Sandy Creek,4848,246,1609,458,4,2317,2317,
10,Fayette,Shakerag East,1689,229,588,185,2,1004,1004,
11,Fayette,Shakerag West,1236,64,569,171,1,805,805,
12,Fayette,Starrsmill,3572,439,1264,467,0,2170,2170,
13,Fayette,Whitewater,3564,349,1526,514,8,2397,2397,
14,Fayette,Woolsey,2542,346,1047,419,0,1812,1812,
15,Fayette,McIntosh,3323,236,1404,458,2,2100,2100,
16,Fayette,Oak Grove,1344,155,550,142,1,848,848,
17,Fayette,Kedron,4862,440,1843,592,2,2877,2877,
18,Fayette,Aberdeen,1805,162,760,206,0,1128,1128,
19,Fayette,Windgate,1011,140,414,104,2,660,660,
20,Fayette,Flat Creek,2117,233,700,265,4,1202,1202,
21,Fayette,Braelinn,1876,206,866,261,1,1334,1334,
22,Fayette,Kenwood,1014,103,227,118,1,449,449,
23,Fayette,Banks,1624,189,420,251,0,860,860,
24,Fayette,Harps Crossing,1646,178,605,247,2,1032,1032,
25,Fayette,Willow Pond,3100,283,1038,427,8,1756,1756,
26,Fayette,Dogwood,3092,281,1282,426,3,1992,1992,
27,Fayette,Oak Ridge,2225,209,607,346,3,1165,1165,
28,Fayette,Jeff Davis,2876,150,770,345,5,1270,1270,
29,Fayette,Murphy,3224,220,1081,497,3,1801,1801,
30,Fayette,Fielding Ridge,3497,318,1539,413,0,2270,2270,
31,Fayette,Willowbend,2007,179,857,230,0,1266,1266,
32,Fayette,Camp Creek,1895,182,823,239,2,1246,1246,
33,Fayette,Rising Star,3833,414,1952,469,2,2837,2837,
34,Fayette,Spring Hill,3299,188,1103,410,1,1702,1702,
35,Fayette,Antioch,1956,317,607,262,1,1187,1187,
