index,County,Precinct,Registered Voters,Sheila Studdard (I) (Rep)_Election Day Votes,Sheila Studdard (I) (Rep)_Advanced Voting Votes,Sheila Studdard (I) (Rep)_Absentee by Mail Votes,Sheila Studdard (I) (Rep)_Provisional Votes,Sheila Studdard (I) (Rep)_Choice Total,Total,
0,Fayette,Blackrock,2699,165,710,370,8,1253,1253,
1,Fayette,Brooks,2567,554,1036,371,1,1962,1962,
2,Fayette,Europe,3310,163,768,398,9,1338,1338,
3,Fayette,Fayetteville East,2147,150,606,282,3,1041,1041,
4,Fayette,Fayetteville West,2362,179,723,333,0,1235,1235,
5,Fayette,Flint,1732,179,462,199,0,840,840,
6,Fayette,Hopeful,2309,248,638,249,0,1135,1135,
7,Fayette,Morning Creek,3059,195,914,516,1,1626,1626,
8,Fayette,Rareover,3045,181,1507,278,3,1969,1969,
9,Fayette,Sandy Creek,4848,245,1638,461,4,2348,2348,
10,Fayette,Shakerag East,1689,228,598,188,2,1016,1016,
11,Fayette,Shakerag West,1236,64,572,183,1,820,820,
12,Fayette,Starrsmill,3572,448,1272,480,0,2200,2200,
13,Fayette,Whitewater,3564,350,1533,528,9,2420,2420,
14,Fayette,Woolsey,2542,353,1049,430,0,1832,1832,
15,Fayette,McIntosh,3323,237,1398,464,2,2101,2101,
16,Fayette,Oak Grove,1344,152,553,151,1,857,857,
17,Fayette,Kedron,4862,440,1843,598,2,2883,2883,
18,Fayette,Aberdeen,1805,158,759,212,0,1129,1129,
19,Fayette,Windgate,1011,142,416,110,2,670,670,
20,Fayette,Flat Creek,2117,228,701,275,3,1207,1207,
21,Fayette,Braelinn,1876,209,867,266,2,1344,1344,
22,Fayette,Kenwood,1014,100,226,121,0,447,447,
23,Fayette,Banks,1624,185,424,260,0,869,869,
24,Fayette,Harps Crossing,1646,180,611,252,2,1045,1045,
25,Fayette,Willow Pond,3100,283,1031,441,8,1763,1763,
26,Fayette,Dogwood,3092,283,1293,430,3,2009,2009,
27,Fayette,Oak Ridge,2225,208,610,352,3,1173,1173,
28,Fayette,Jeff Davis,2876,152,758,344,5,1259,1259,
29,Fayette,Murphy,3224,218,1103,503,4,1828,1828,
30,Fayette,Fielding Ridge,3497,327,1539,416,0,2282,2282,
31,Fayette,Willowbend,2007,176,863,227,0,1266,1266,
32,Fayette,Camp Creek,1895,180,824,247,2,1253,1253,
33,Fayette,Rising Star,3833,412,1952,481,2,2847,2847,
34,Fayette,Spring Hill,3299,187,1112,421,1,1721,1721,
35,Fayette,Antioch,1956,315,608,259,1,1183,1183,
