index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Fayette,Blackrock,2699,160,832,438,7,1437,59,274,189,2,524,1961,
1,Fayette,Brooks,2567,371,701,305,1,1378,173,345,129,1,648,2026,
2,Fayette,Europe,3310,195,1082,597,10,1884,50,285,235,6,576,2460,
3,Fayette,Fayetteville East,2147,129,595,283,4,1011,49,219,142,1,411,1422,
4,Fayette,Fayetteville West,2362,158,724,354,1,1237,48,263,104,0,415,1652,
5,Fayette,Flint,1732,160,521,237,0,918,58,170,101,0,329,1247,
6,Fayette,Hopeful,2309,210,650,323,1,1184,85,241,132,0,458,1642,
7,Fayette,Morning Creek,3059,193,933,553,1,1680,59,315,206,0,580,2260,
8,Fayette,Rareover,3045,160,1187,239,3,1589,42,488,127,0,657,2246,
9,Fayette,Sandy Creek,4848,258,1741,567,5,2571,50,615,207,1,873,3444,
10,Fayette,Shakerag East,1689,176,484,192,2,854,74,203,66,0,343,1197,
11,Fayette,Shakerag West,1236,54,464,177,1,696,17,204,83,1,305,1001,
12,Fayette,Starrsmill,3572,335,947,389,0,1671,125,418,204,0,747,2418,
13,Fayette,Whitewater,3564,254,1216,460,6,1936,123,518,216,3,860,2796,
14,Fayette,Woolsey,2542,246,757,327,0,1330,121,330,200,0,651,1981,
15,Fayette,McIntosh,3323,185,1128,436,1,1750,66,487,182,1,736,2486,
16,Fayette,Oak Grove,1344,141,455,150,0,746,42,170,58,1,271,1017,
17,Fayette,Kedron,4862,351,1560,570,3,2484,148,652,276,0,1076,3560,
18,Fayette,Aberdeen,1805,120,597,195,0,912,57,259,88,0,404,1316,
19,Fayette,Windgate,1011,101,335,101,1,538,49,134,49,1,233,771,
20,Fayette,Flat Creek,2117,181,588,246,2,1017,70,228,110,1,409,1426,
21,Fayette,Braelinn,1876,146,640,222,1,1009,64,284,96,0,444,1453,
22,Fayette,Kenwood,1014,104,303,176,2,585,33,72,65,0,170,755,
23,Fayette,Banks,1624,168,397,260,0,825,57,163,109,0,329,1154,
24,Fayette,Harps Crossing,1646,145,489,205,2,841,55,213,122,0,390,1231,
25,Fayette,Willow Pond,3100,225,916,447,4,1592,89,377,186,4,656,2248,
26,Fayette,Dogwood,3092,220,1039,410,3,1672,85,447,177,0,709,2381,
27,Fayette,Oak Ridge,2225,189,608,394,4,1195,61,212,163,2,438,1633,
28,Fayette,Jeff Davis,2876,147,862,390,5,1404,43,259,166,2,470,1874,
29,Fayette,Murphy,3224,185,988,489,2,1664,78,413,250,2,743,2407,
30,Fayette,Fielding Ridge,3497,259,1229,410,0,1898,95,521,185,0,801,2699,
31,Fayette,Willowbend,2007,146,666,223,0,1035,51,288,90,0,429,1464,
32,Fayette,Camp Creek,1895,131,611,218,1,961,60,302,106,1,469,1430,
33,Fayette,Rising Star,3833,308,1501,444,1,2254,133,669,201,2,1005,3259,
34,Fayette,Spring Hill,3299,164,1070,487,0,1721,59,427,214,1,701,2422,
35,Fayette,Antioch,1956,246,505,273,1,1025,101,217,92,0,410,1435,
