index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Fayette,Blackrock,2699,84,315,207,6,612,127,798,459,4,1388,17,27,7,0,51,2051,
1,Fayette,Brooks,2567,525,962,299,1,1787,28,108,137,0,273,18,21,10,0,49,2109,
2,Fayette,Europe,3310,47,184,85,4,320,189,1170,751,12,2122,10,41,17,0,68,2510,
3,Fayette,Fayetteville East,2147,74,329,168,3,574,91,468,258,3,820,16,45,17,0,78,1472,
4,Fayette,Fayetteville West,2362,112,435,161,0,708,87,523,305,1,916,17,42,15,0,74,1698,
5,Fayette,Flint,1732,127,230,120,0,477,84,479,223,0,786,8,19,9,0,36,1299,
6,Fayette,Hopeful,2309,142,374,112,0,628,143,509,346,1,999,18,34,16,0,68,1695,
7,Fayette,Morning Creek,3059,107,521,295,1,924,144,705,471,1,1321,10,40,24,0,74,2319,
8,Fayette,Rareover,3045,142,1173,211,3,1529,50,482,152,0,684,13,78,16,0,107,2320,
9,Fayette,Sandy Creek,4848,133,953,239,1,1326,168,1404,533,4,2109,19,73,29,0,121,3556,
10,Fayette,Shakerag East,1689,177,464,124,1,766,61,222,139,1,423,19,23,8,0,50,1239,
11,Fayette,Shakerag West,1236,46,471,128,1,646,16,186,138,1,341,10,30,13,0,53,1040,
12,Fayette,Starrsmill,3572,385,1128,389,0,1902,70,244,205,0,519,26,43,19,0,88,2509,
13,Fayette,Whitewater,3564,290,1286,400,4,1980,72,452,283,6,813,20,44,25,1,90,2883,
14,Fayette,Woolsey,2542,315,924,351,0,1590,36,166,186,0,388,21,28,16,0,65,2043,
15,Fayette,McIntosh,3323,200,1158,320,2,1680,46,460,316,0,822,15,55,20,0,90,2592,
16,Fayette,Oak Grove,1344,116,426,105,1,648,50,185,102,1,338,13,31,6,0,50,1036,
17,Fayette,Kedron,4862,314,1324,366,1,2005,168,859,493,1,1521,38,105,32,1,176,3702,
18,Fayette,Aberdeen,1805,121,609,172,0,902,40,247,112,0,399,23,29,9,0,61,1362,
19,Fayette,Windgate,1011,108,324,64,2,498,26,135,82,0,243,19,31,8,0,58,799,
20,Fayette,Flat Creek,2117,148,529,213,3,893,89,283,149,1,522,27,43,15,0,85,1500,
21,Fayette,Braelinn,1876,177,769,201,2,1149,34,169,106,0,309,9,20,13,0,42,1500,
22,Fayette,Kenwood,1014,44,77,45,0,166,91,296,197,2,586,7,13,9,0,29,781,
23,Fayette,Banks,1624,127,266,167,0,560,97,287,217,0,601,7,20,13,0,40,1201,
24,Fayette,Harps Crossing,1646,151,481,194,2,828,48,214,140,1,403,8,26,9,0,43,1274,
25,Fayette,Willow Pond,3100,206,722,240,7,1175,100,564,388,2,1054,19,46,32,0,97,2326,
26,Fayette,Dogwood,3092,219,1018,310,3,1550,70,504,276,0,850,19,45,21,0,85,2485,
27,Fayette,Oak Ridge,2225,133,328,182,1,644,110,471,378,6,965,10,34,21,1,66,1675,
28,Fayette,Jeff Davis,2876,75,401,188,2,666,113,703,377,4,1197,12,35,17,1,65,1928,
29,Fayette,Murphy,3224,153,735,327,2,1217,97,671,413,1,1182,17,47,17,1,82,2481,
30,Fayette,Fielding Ridge,3497,261,1217,249,0,1727,77,502,333,0,912,27,77,37,0,141,2780,
31,Fayette,Willowbend,2007,138,681,167,0,986,47,251,141,0,439,20,48,14,0,82,1507,
32,Fayette,Camp Creek,1895,155,682,180,1,1018,31,233,148,1,413,11,32,10,0,53,1484,
33,Fayette,Rising Star,3833,354,1689,361,1,2405,69,508,279,2,858,29,58,30,0,117,3380,
34,Fayette,Spring Hill,3299,129,725,252,0,1106,87,772,453,2,1314,12,52,26,0,90,2510,
35,Fayette,Antioch,1956,235,441,173,1,850,97,262,190,0,549,25,32,13,0,70,1469,
