index,County,Precinct,Registered Voters,Barry H. Babb (I) (Rep)_Election Day Votes,Barry H. Babb (I) (Rep)_Advanced Voting Votes,Barry H. Babb (I) (Rep)_Absentee by Mail Votes,Barry H. Babb (I) (Rep)_Provisional Votes,Barry H. Babb (I) (Rep)_Choice Total,Chris Pigors (Dem)_Election Day Votes,Chris Pigors (Dem)_Advanced Voting Votes,Chris Pigors (Dem)_Absentee by Mail Votes,Chris Pigors (Dem)_Provisional Votes,Chris Pigors (Dem)_Choice Total,Total,
0,Fayette,Blackrock,2699,99,381,257,6,743,126,756,416,3,1301,2044,
1,Fayette,Brooks,2567,545,995,335,2,1877,30,102,111,0,243,2120,
2,Fayette,Europe,3310,65,277,165,2,509,185,1113,687,13,1998,2507,
3,Fayette,Fayetteville East,2147,89,383,205,4,681,93,461,239,3,796,1477,
4,Fayette,Fayetteville West,2362,132,505,211,0,848,83,498,269,1,851,1699,
5,Fayette,Flint,1732,137,281,152,0,570,83,448,198,0,729,1299,
6,Fayette,Hopeful,2309,163,430,155,0,748,142,487,314,1,944,1692,
7,Fayette,Morning Creek,3059,125,589,370,1,1085,139,680,418,1,1238,2323,
8,Fayette,Rareover,3045,163,1281,227,2,1673,46,453,152,0,651,2324,
9,Fayette,Sandy Creek,4848,153,1045,280,2,1480,168,1354,511,4,2037,3517,
10,Fayette,Shakerag East,1689,196,500,143,2,841,60,210,125,0,395,1236,
11,Fayette,Shakerag West,1236,53,517,152,1,723,20,174,124,1,319,1042,
12,Fayette,Starrsmill,3572,401,1209,440,0,2050,78,213,178,0,469,2519,
13,Fayette,Whitewater,3564,310,1352,451,6,2119,73,443,246,5,767,2886,
14,Fayette,Woolsey,2542,345,983,408,0,1736,34,143,141,0,318,2054,
15,Fayette,McIntosh,3323,206,1226,364,1,1797,56,443,283,1,783,2580,
16,Fayette,Oak Grove,1344,131,466,119,0,716,50,173,93,1,317,1033,
17,Fayette,Kedron,4862,349,1457,423,1,2230,165,826,447,3,1441,3671,
18,Fayette,Aberdeen,1805,136,659,189,0,984,45,228,99,0,372,1356,
19,Fayette,Windgate,1011,125,363,82,2,572,29,122,70,0,221,793,
20,Fayette,Flat Creek,2117,176,567,238,3,984,89,282,141,1,513,1497,
21,Fayette,Braelinn,1876,195,814,223,2,1234,25,138,97,0,260,1494,
22,Fayette,Kenwood,1014,64,125,65,0,254,79,258,181,2,520,774,
23,Fayette,Banks,1624,143,291,197,0,631,90,277,189,0,556,1187,
24,Fayette,Harps Crossing,1646,161,529,222,2,914,49,194,121,1,365,1279,
25,Fayette,Willow Pond,3100,221,817,301,7,1346,105,524,340,2,971,2317,
26,Fayette,Dogwood,3092,240,1092,360,3,1695,71,473,250,0,794,2489,
27,Fayette,Oak Ridge,2225,150,389,230,2,771,98,450,338,4,890,1661,
28,Fayette,Jeff Davis,2876,95,472,238,3,808,104,665,341,3,1113,1921,
29,Fayette,Murphy,3224,167,826,418,4,1415,100,626,331,0,1057,2472,
30,Fayette,Fielding Ridge,3497,278,1317,299,0,1894,86,466,301,0,853,2747,
31,Fayette,Willowbend,2007,158,739,187,0,1084,45,246,131,0,422,1506,
32,Fayette,Camp Creek,1895,167,739,212,2,1120,29,213,125,0,367,1487,
33,Fayette,Rising Star,3833,380,1787,397,1,2565,70,462,262,1,795,3360,
34,Fayette,Spring Hill,3299,145,808,310,0,1263,82,737,420,1,1240,2503,
35,Fayette,Antioch,1956,275,519,213,1,1008,82,220,161,0,463,1471,
