index,County,Precinct,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total,
0,Fayette,Blackrock,2699,2,2,3,0,7,0,2,2,0,4,19,116,84,2,221,0,2,3,0,5,2,4,4,0,10,0,1,1,0,2,6,5,0,0,11,23,95,34,2,154,10,48,9,0,67,0,3,1,0,4,12,38,9,0,59,7,41,6,1,55,46,162,118,2,328,5,11,1,0,17,3,7,1,0,11,2,6,2,0,10,2,2,1,0,5,2,4,0,0,6,82,594,398,2,1076,2,8,4,0,14,2066,
1,Fayette,Brooks,2567,1,3,2,0,6,1,1,2,0,4,179,325,101,1,606,2,1,2,0,5,8,8,10,0,26,0,1,1,0,2,4,12,1,0,17,6,12,19,0,37,1,6,4,0,11,10,12,1,0,23,1,6,2,0,9,4,16,17,0,37,306,583,173,1,1063,0,3,0,0,3,10,8,3,0,21,0,0,1,0,1,0,0,1,0,1,5,7,4,0,16,27,84,102,0,213,1,1,3,0,5,2106,
2,Fayette,Europe,3310,1,2,3,0,6,1,1,2,2,6,13,67,25,0,105,0,0,2,2,4,3,6,1,1,11,1,1,3,0,5,4,4,3,0,11,24,123,63,3,213,10,32,15,1,58,2,1,0,0,3,7,44,12,0,63,9,38,6,0,53,23,92,49,2,166,10,23,2,0,35,3,2,1,0,6,1,6,2,0,9,1,6,3,0,10,0,4,1,0,5,138,948,667,4,1757,2,10,3,0,15,2541,
3,Fayette,Fayetteville East,2147,1,2,5,0,8,0,3,1,0,4,24,132,63,2,221,0,3,4,0,7,1,4,0,0,5,0,3,1,0,4,3,4,2,0,9,17,80,33,1,131,8,27,7,0,42,1,3,1,0,5,10,32,12,0,54,10,31,9,0,50,43,178,92,1,314,2,15,1,0,18,3,5,3,0,11,1,3,0,0,4,0,2,0,0,2,1,8,0,0,9,57,313,206,4,580,4,9,3,0,16,1494,
4,Fayette,Fayetteville West,2362,4,4,0,0,8,2,2,2,0,6,33,179,56,0,268,4,4,1,0,9,4,6,4,0,14,0,3,0,0,3,7,6,4,0,17,13,68,32,0,113,3,33,6,0,42,5,6,1,0,12,3,33,8,1,45,11,26,17,0,54,61,223,99,0,383,2,12,1,0,15,3,5,2,0,10,0,4,0,0,4,1,3,5,0,9,2,5,2,0,9,60,386,239,0,685,0,7,4,0,11,1717,
5,Fayette,Flint,1732,2,4,0,0,6,2,1,0,0,3,46,84,47,0,177,0,0,2,0,2,1,3,1,0,5,0,0,0,0,0,4,4,1,0,9,12,79,23,0,114,6,15,7,0,28,1,5,4,0,10,3,20,7,0,30,6,19,7,0,32,71,126,65,0,262,1,9,0,0,10,2,5,0,0,7,2,3,0,0,5,3,1,1,0,5,2,1,4,0,7,56,342,181,0,579,1,9,2,0,12,1303,
6,Fayette,Hopeful,2309,3,1,2,0,6,0,1,3,0,4,49,132,37,0,218,3,3,0,0,6,2,9,3,0,14,0,3,0,0,3,2,4,1,0,7,20,67,21,1,109,8,20,8,0,36,2,5,3,0,10,7,16,9,0,32,8,27,9,0,44,89,207,64,0,360,3,5,0,0,8,1,4,1,0,6,0,4,3,0,7,0,4,1,0,5,2,9,0,0,11,106,399,310,0,815,2,6,1,0,9,1710,
7,Fayette,Morning Creek,3059,0,3,4,0,7,1,3,5,0,9,28,170,116,0,314,1,2,0,0,3,3,10,9,0,22,1,3,0,0,4,1,9,3,0,13,18,97,38,0,153,14,49,15,1,79,4,6,2,0,12,7,27,12,0,46,5,38,11,0,54,73,310,157,0,540,4,24,0,0,28,1,8,2,0,11,1,5,1,0,7,1,2,1,0,4,0,3,1,0,4,99,508,418,0,1025,1,7,3,0,11,2346,
8,Fayette,Rareover,3045,0,5,1,0,6,1,5,1,0,7,42,465,77,1,585,3,7,1,1,12,2,18,4,0,24,0,4,0,0,4,6,27,5,0,38,9,56,15,0,80,1,11,2,0,14,0,11,0,0,11,2,17,2,0,21,8,41,12,0,61,87,646,112,1,846,3,9,0,0,12,8,29,4,0,41,1,4,1,0,6,1,1,3,0,5,1,16,1,0,18,33,388,145,0,566,0,4,2,0,6,2363,
9,Fayette,Sandy Creek,4848,1,10,0,1,12,1,3,2,0,6,39,364,80,2,485,2,3,3,0,8,2,18,2,0,22,1,5,1,0,7,6,14,5,0,25,30,179,68,1,278,16,54,13,1,84,2,12,3,0,17,14,53,13,1,81,14,60,8,0,82,71,521,140,1,733,8,26,5,0,39,3,10,7,0,20,4,5,4,0,13,3,10,2,0,15,1,11,2,0,14,99,1075,450,0,1624,2,14,7,0,23,3588,
