Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Wynnton/Britt,Muscogee,5289,342,1103,659,0,2104,96,356,222,0,674,2778,
Carver/Mack,Muscogee,4374,221,881,598,0,1700,49,261,228,0,538,2238,
St John/Belvedere,Muscogee,5341,240,1354,800,2,2396,64,387,356,0,807,3203,
Britt David,Muscogee,2747,301,602,293,0,1196,119,252,100,0,471,1667,
St Peter,Muscogee,3265,360,771,428,1,1560,117,313,127,0,557,2117,
Cornerstone,Muscogee,6684,636,1628,802,1,3067,227,667,275,0,1169,4236,
Columbus Tech,Muscogee,4464,366,737,332,0,1435,113,261,162,0,536,1971,
St Mark/Heiferhorn,Muscogee,6492,518,1977,925,7,3427,165,745,301,3,1214,4641,
Wynnbrook,Muscogee,2692,204,713,486,0,1403,82,327,187,0,596,1999,
Cusseta Rd,Muscogee,6169,444,970,604,3,2021,113,256,238,0,607,2628,
Our Lady of Lourdes,Muscogee,10204,623,1447,1057,3,3130,174,472,391,0,1037,4167,
Mt Pilgrim,Muscogee,6022,370,1508,792,1,2671,92,407,366,0,865,3536,
Faith Tabernacle,Muscogee,4461,299,1125,604,0,2028,82,316,275,0,673,2701,
Canaan,Muscogee,7078,387,1579,870,0,2836,126,482,355,0,963,3799,
Holsey/Buena Vista,Muscogee,7613,412,1856,961,0,3229,101,575,393,0,1069,4298,
Gentian/Reese,Muscogee,5612,472,1371,702,0,2545,181,413,230,0,824,3369,
St Paul/Clubview,Muscogee,5677,461,1599,785,0,2845,122,539,236,0,897,3742,
Moon/Morningside,Muscogee,5415,484,1276,698,1,2459,179,517,238,0,934,3393,
St Andrews/Midland,Muscogee,7959,670,2123,1121,0,3914,264,737,382,0,1383,5297,
Salvation Army,Muscogee,3192,305,801,412,0,1518,97,283,126,0,506,2024,
First African,Muscogee,1955,123,320,249,6,698,31,82,59,0,172,870,
Epworth UMC,Muscogee,4512,409,857,482,1,1749,122,297,169,0,588,2337,
Marianna Gallops,Muscogee,3095,227,485,289,4,1005,68,156,89,1,314,1319,
Edgewood Baptist,Muscogee,3235,249,796,364,2,1411,82,232,174,3,491,1902,
Psalmond/Mathews,Muscogee,7331,449,2330,1124,1,3904,161,795,399,0,1355,5259,
