Precinct,County,Registered Voters,Lula Huff (I) (Dem)_Election Day Votes,Lula Huff (I) (Dem)_Advanced Voting Votes,Lula Huff (I) (Dem)_Absentee by Mail Votes,Lula Huff (I) (Dem)_Provisional Votes,Lula Huff (I) (Dem)_Choice Total,Total,
Wynnton/Britt,Muscogee,5289,416,1369,849,0,2634,2634,
Carver/Mack,Muscogee,4374,267,1172,851,0,2290,2290,
St John/Belvedere,Muscogee,5341,301,1769,1178,2,3250,3250,
Britt David,Muscogee,2747,345,707,340,0,1392,1392,
St Peter,Muscogee,3265,372,895,470,1,1738,1738,
Cornerstone,Muscogee,6684,652,1890,917,1,3460,3460,
Columbus Tech,Muscogee,4464,397,832,440,0,1669,1669,
St Mark/Heiferhorn,Muscogee,6492,514,2134,1023,9,3680,3680,
Wynnbrook,Muscogee,2692,230,849,562,0,1641,1641,
Cusseta Rd,Muscogee,6169,562,1242,869,3,2676,2676,
Our Lady of Lourdes,Muscogee,10204,737,1849,1404,3,3993,3993,
Mt Pilgrim,Muscogee,6022,469,1925,1187,1,3582,3582,
Faith Tabernacle,Muscogee,4461,383,1451,877,0,2711,2711,
Canaan,Muscogee,7078,487,1961,1204,0,3652,3652,
Holsey/Buena Vista,Muscogee,7613,510,2388,1334,0,4232,4232,
Gentian/Reese,Muscogee,5612,512,1538,823,0,2873,2873,
St Paul/Clubview,Muscogee,5677,470,1794,892,0,3156,3156,
Moon/Morningside,Muscogee,5415,554,1470,806,1,2831,2831,
St Andrews/Midland,Muscogee,7959,751,2399,1304,0,4454,4454,
Salvation Army,Muscogee,3192,331,907,460,0,1698,1698,
First African,Muscogee,1955,134,354,285,4,777,777,
Epworth UMC,Muscogee,4512,422,953,550,0,1925,1925,
Marianna Gallops,Muscogee,3095,261,605,368,5,1239,1239,
Edgewood Baptist,Muscogee,3235,279,947,510,3,1739,1739,
Psalmond/Mathews,Muscogee,7331,479,2598,1317,1,4395,4395,
