Precinct,County,Registered Voters,Ed Harbison (I) (Dem)_Election Day Votes,Ed Harbison (I) (Dem)_Advanced Voting Votes,Ed Harbison (I) (Dem)_Absentee by Mail Votes,Ed Harbison (I) (Dem)_Provisional Votes,Ed Harbison (I) (Dem)_Choice Total,Total,
Wynnton/Britt,Muscogee,5289,401,1309,856,0,2566,2566,
Carver/Mack,Muscogee,4374,261,1140,849,0,2250,2250,
St John/Belvedere,Muscogee,5341,293,1720,1167,2,3182,3182,
Columbus Tech,Muscogee,4464,158,309,175,0,642,642,
Cusseta Rd,Muscogee,6169,545,1221,865,3,2634,2634,
Our Lady of Lourdes,Muscogee,10204,702,1771,1387,5,3865,3865,
Mt Pilgrim,Muscogee,6022,452,1874,1181,1,3508,3508,
Faith Tabernacle,Muscogee,4461,371,1412,882,0,2665,2665,
Canaan,Muscogee,7078,474,1908,1188,0,3570,3570,
Holsey/Buena Vista,Muscogee,7613,491,2329,1341,0,4161,4161,
St Paul/Clubview,Muscogee,5677,324,1324,680,0,2328,2328,
First African,Muscogee,1955,129,335,281,4,749,749,
Epworth UMC,Muscogee,4512,191,490,336,0,1017,1017,
Marianna Gallops,Muscogee,3095,239,571,368,5,1183,1183,
Edgewood Baptist,Muscogee,3235,252,910,504,3,1669,1669,
