Precinct,County,Registered Voters,Mark P. Jones (Dem)_Election Day Votes,Mark P. Jones (Dem)_Advanced Voting Votes,Mark P. Jones (Dem)_Absentee by Mail Votes,Mark P. Jones (Dem)_Provisional Votes,Mark P. Jones (Dem)_Choice Total,Total,
Wynnton/Britt,Muscogee,5289,390,1258,797,0,2445,2445,
Carver/Mack,Muscogee,4374,264,1150,831,0,2245,2245,
St John/Belvedere,Muscogee,5341,295,1731,1165,2,3193,3193,
Britt David,Muscogee,2747,303,648,315,0,1266,1266,
St Peter,Muscogee,3265,325,778,431,1,1535,1535,
Cornerstone,Muscogee,6684,586,1699,835,0,3120,3120,
Columbus Tech,Muscogee,4464,388,763,409,0,1560,1560,
St Mark/Heiferhorn,Muscogee,6492,439,1787,886,8,3120,3120,
Wynnbrook,Muscogee,2692,178,662,440,0,1280,1280,
Cusseta Rd,Muscogee,6169,549,1232,870,3,2654,2654,
Our Lady of Lourdes,Muscogee,10204,721,1802,1380,3,3906,3906,
Mt Pilgrim,Muscogee,6022,451,1883,1174,0,3508,3508,
Faith Tabernacle,Muscogee,4461,371,1420,862,0,2653,2653,
Canaan,Muscogee,7078,481,1912,1170,0,3563,3563,
Holsey/Buena Vista,Muscogee,7613,500,2324,1314,0,4138,4138,
Gentian/Reese,Muscogee,5612,477,1415,742,0,2634,2634,
St Paul/Clubview,Muscogee,5677,403,1455,727,0,2585,2585,
Moon/Morningside,Muscogee,5415,502,1299,725,1,2527,2527,
St Andrews/Midland,Muscogee,7959,697,2180,1194,0,4071,4071,
Salvation Army,Muscogee,3192,299,849,430,0,1578,1578,
First African,Muscogee,1955,123,314,265,4,706,706,
Epworth UMC,Muscogee,4512,382,848,491,0,1721,1721,
Marianna Gallops,Muscogee,3095,243,567,351,5,1166,1166,
Edgewood Baptist,Muscogee,3235,263,903,481,3,1650,1650,
Psalmond/Mathews,Muscogee,7331,420,2319,1193,1,3933,3933,
