Precinct,County,Registered Voters,Danielle F. Forte (I) (Dem)_Election Day Votes,Danielle F. Forte (I) (Dem)_Advanced Voting Votes,Danielle F. Forte (I) (Dem)_Absentee by Mail Votes,Danielle F. Forte (I) (Dem)_Provisional Votes,Danielle F. Forte (I) (Dem)_Choice Total,Total,
Wynnton/Britt,Muscogee,5289,402,1354,833,0,2589,2589,
Carver/Mack,Muscogee,4374,267,1153,833,0,2253,2253,
St John/Belvedere,Muscogee,5341,297,1748,1158,2,3205,3205,
Britt David,Muscogee,2747,331,676,323,0,1330,1330,
St Peter,Muscogee,3265,366,854,445,1,1666,1666,
Cornerstone,Muscogee,6684,629,1803,863,1,3296,3296,
Columbus Tech,Muscogee,4464,383,793,421,0,1597,1597,
St Mark/Heiferhorn,Muscogee,6492,492,2027,971,9,3499,3499,
Wynnbrook,Muscogee,2692,210,790,514,0,1514,1514,
Cusseta Rd,Muscogee,6169,551,1231,848,3,2633,2633,
Our Lady of Lourdes,Muscogee,10204,724,1833,1368,3,3928,3928,
Mt Pilgrim,Muscogee,6022,465,1905,1165,1,3536,3536,
Faith Tabernacle,Muscogee,4461,376,1440,856,0,2672,2672,
Canaan,Muscogee,7078,491,1942,1174,0,3607,3607,
Holsey/Buena Vista,Muscogee,7613,505,2353,1313,0,4171,4171,
Gentian/Reese,Muscogee,5612,494,1473,795,0,2762,2762,
St Paul/Clubview,Muscogee,5677,454,1727,845,0,3026,3026,
Moon/Morningside,Muscogee,5415,534,1392,762,1,2689,2689,
St Andrews/Midland,Muscogee,7959,732,2314,1267,0,4313,4313,
Salvation Army,Muscogee,3192,319,889,444,0,1652,1652,
First African,Muscogee,1955,133,354,272,4,763,763,
Epworth UMC,Muscogee,4512,415,904,516,0,1835,1835,
Marianna Gallops,Muscogee,3095,252,594,362,5,1213,1213,
Edgewood Baptist,Muscogee,3235,273,922,492,3,1690,1690,
Psalmond/Mathews,Muscogee,7331,465,2517,1275,1,4258,4258,
