Precinct,County,Registered Voters,Jimmy Mobley (Rep)_Election Day Votes,Jimmy Mobley (Rep)_Advanced Voting Votes,Jimmy Mobley (Rep)_Absentee by Mail Votes,Jimmy Mobley (Rep)_Provisional Votes,Jimmy Mobley (Rep)_Choice Total,Total,
Irwinville,Irwin,1796,299,675,146,0,1120,1120,
Ocilla,Irwin,3642,1,2,0,0,3,3,
