Precinct,County,Registered Voters,Herb Cranford (I) (Rep)_Election Day Votes,Herb Cranford (I) (Rep)_Advanced Voting Votes,Herb Cranford (I) (Rep)_Absentee by Mail Votes,Herb Cranford (I) (Rep)_Provisional Votes,Herb Cranford (I) (Rep)_Choice Total,Total,
Centralhatchee,Heard,1767,380,586,185,0,1151,1151,
Cooksville-Corinth,Heard,700,154,195,50,0,399,399,
Enon Grove,Heard,1156,276,309,87,0,672,672,
Ephesus,Heard,1321,418,299,132,0,849,849,
Franklin,Heard,2178,293,716,241,1,1251,1251,
Southwest,Heard,640,167,172,84,0,423,423,
