Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Centralhatchee,Heard,1767,308,481,184,0,973,87,125,31,0,243,1216,
Cooksville-Corinth,Heard,700,124,163,49,0,336,35,35,2,0,72,408,
Enon Grove,Heard,1156,217,274,66,0,557,50,45,32,0,127,684,
Ephesus,Heard,1321,318,244,126,0,688,91,65,18,1,175,863,
Franklin,Heard,2178,252,584,258,1,1095,58,168,51,0,277,1372,
Southwest,Heard,640,122,134,79,0,335,38,49,18,0,105,440,
