Precinct,County,Registered Voters,Dianne Watson (I) (Rep)_Election Day Votes,Dianne Watson (I) (Rep)_Advanced Voting Votes,Dianne Watson (I) (Rep)_Absentee by Mail Votes,Dianne Watson (I) (Rep)_Provisional Votes,Dianne Watson (I) (Rep)_Choice Total,Total,
Centralhatchee,Heard,1767,393,599,192,0,1184,1184,
Cooksville-Corinth,Heard,700,155,200,51,0,406,406,
Enon Grove,Heard,1156,275,320,91,0,686,686,
Ephesus,Heard,1321,426,304,138,0,868,868,
Franklin,Heard,2178,302,745,251,1,1299,1299,
Southwest,Heard,640,173,179,93,0,445,445,
