Precinct,County,Registered Voters,Brenda Jennings (I) (Rep)_Election Day Votes,Brenda Jennings (I) (Rep)_Advanced Voting Votes,Brenda Jennings (I) (Rep)_Absentee by Mail Votes,Brenda Jennings (I) (Rep)_Provisional Votes,Brenda Jennings (I) (Rep)_Choice Total,Total,
Centralhatchee,Heard,1767,381,601,183,0,1165,1165,
Cooksville-Corinth,Heard,700,154,198,50,0,402,402,
Enon Grove,Heard,1156,280,320,86,0,686,686,
Ephesus,Heard,1321,421,306,133,0,860,860,
Franklin,Heard,2178,302,736,246,0,1284,1284,
Southwest,Heard,640,170,179,92,0,441,441,
