Precinct,County,Registered Voters,Lee Boone (I) (Rep)_Election Day Votes,Lee Boone (I) (Rep)_Advanced Voting Votes,Lee Boone (I) (Rep)_Absentee by Mail Votes,Lee Boone (I) (Rep)_Provisional Votes,Lee Boone (I) (Rep)_Choice Total,Total,
Centralhatchee,Heard,1767,378,575,180,0,1133,1133,
Cooksville-Corinth,Heard,700,156,195,51,0,402,402,
Enon Grove,Heard,1156,269,313,87,0,669,669,
Ephesus,Heard,1321,415,298,123,0,836,836,
Franklin,Heard,2178,282,688,233,1,1204,1204,
Southwest,Heard,640,161,171,84,0,416,416,
