Precinct,County,Registered Voters,Matt Brass (I) (Rep)_Election Day Votes,Matt Brass (I) (Rep)_Advanced Voting Votes,Matt Brass (I) (Rep)_Absentee by Mail Votes,Matt Brass (I) (Rep)_Provisional Votes,Matt Brass (I) (Rep)_Choice Total,Total,
Centralhatchee,Heard,1767,378,577,186,0,1141,1141,
Cooksville-Corinth,Heard,700,150,195,52,0,397,397,
Enon Grove,Heard,1156,271,306,89,0,666,666,
Ephesus,Heard,1321,412,297,133,0,842,842,
Franklin,Heard,2178,294,697,227,1,1219,1219,
Southwest,Heard,640,161,169,74,0,404,404,
