Precinct,County,Registered Voters,Dexter L. Sharper (I) (Dem)_Election Day Votes,Dexter L. Sharper (I) (Dem)_Advanced Voting Votes,Dexter L. Sharper (I) (Dem)_Absentee by Mail Votes,Dexter L. Sharper (I) (Dem)_Provisional Votes,Dexter L. Sharper (I) (Dem)_Choice Total,Total,
Trinity,Lowndes,10900,291,1043,361,10,1705,1705,
Northside,Lowndes,17467,646,2468,1083,66,4263,4263,
Rainwater,Lowndes,9877,298,1009,407,11,1725,1725,
Mildred,Lowndes,4283,366,965,549,19,1899,1899,
Dasher,Lowndes,4255,47,177,44,0,268,268,
VSU UC # 2,Lowndes,318,47,58,10,2,117,117,
Jaycee Shack,Lowndes,6273,434,1772,781,40,3027,3027,
Mt Calvary,Lowndes,4447,237,932,359,66,1594,1594,
