Precinct,County,Registered Voters,Ashley Paulk (I) (Dem)_Election Day Votes,Ashley Paulk (I) (Dem)_Advanced Voting Votes,Ashley Paulk (I) (Dem)_Absentee by Mail Votes,Ashley Paulk (I) (Dem)_Provisional Votes,Ashley Paulk (I) (Dem)_Choice Total,Total,
Hahira Train Depot,Lowndes,5526,934,2117,442,11,3504,3504,
Trinity,Lowndes,10900,921,3656,1221,31,5829,5829,
Northside,Lowndes,17467,1148,6120,2073,84,9425,9425,
Naylor,Lowndes,1291,252,458,117,1,828,828,
Rainwater,Lowndes,9877,804,3743,1063,48,5658,5658,
Mildred,Lowndes,4283,357,960,549,20,1886,1886,
Clyattville,Lowndes,4755,688,1429,451,15,2583,2583,
Dasher,Lowndes,4255,630,1533,365,20,2548,2548,
S Lowndes,Lowndes,3967,757,1273,376,14,2420,2420,
VSU UC # 2,Lowndes,318,45,58,10,2,115,115,
Jaycee Shack,Lowndes,6273,427,1769,756,39,2991,2991,
Northgate Assembly,Lowndes,1997,129,508,134,18,789,789,
Mt Calvary,Lowndes,4447,229,887,345,64,1525,1525,
