Precinct,County,Registered Voters,John LaHood (I) (Rep)_Election Day Votes,John LaHood (I) (Rep)_Advanced Voting Votes,John LaHood (I) (Rep)_Absentee by Mail Votes,John LaHood (I) (Rep)_Provisional Votes,John LaHood (I) (Rep)_Choice Total,Total,
Hahira Train Depot,Lowndes,5526,473,1052,184,4,1713,1713,
Trinity,Lowndes,10900,76,194,53,1,324,324,
Northside,Lowndes,17467,468,3337,830,17,4652,4652,
Rainwater,Lowndes,9877,475,2612,573,25,3685,3685,
Clyattville,Lowndes,4755,123,308,71,3,505,505,
