Precinct,County,Registered Voters,Leroy Tre Hutchins (Dem)_Election Day Votes,Leroy Tre Hutchins (Dem)_Advanced Voting Votes,Leroy Tre Hutchins (Dem)_Absentee by Mail Votes,Leroy Tre Hutchins (Dem)_Provisional Votes,Leroy Tre Hutchins (Dem)_Choice Total,Total,
Austell 1A,Cobb,5329,462,1387,1037,8,2894,2894,
Bryant 01,Cobb,2142,199,726,482,3,1410,1410,
Bryant 02,Cobb,6209,562,1521,817,4,2904,2904,
Clarkdale 01,Cobb,1937,175,400,355,2,932,932,
Clarkdale 02,Cobb,5372,567,1470,954,4,2995,2995,
Cooper 01,Cobb,5252,454,1278,939,2,2673,2673,
Harmony-Leland 01,Cobb,6394,431,2082,1532,4,4049,4049,
Mableton 01,Cobb,5127,346,1356,1185,0,2887,2887,
Mableton 02,Cobb,3330,316,696,591,0,1603,1603,
McEachern 01,Cobb,3549,26,39,38,0,103,103,
Oregon 02,Cobb,5671,153,418,327,0,898,898,
Pebblebrook 01,Cobb,5218,484,1440,998,4,2926,2926,
Powders Springs 1A,Cobb,4755,270,1503,1125,3,2901,2901,
Powders Springs 2A,Cobb,3536,270,1034,670,3,1977,1977,
Powders Springs 3A,Cobb,3991,309,1252,690,1,2252,2252,
Riverside 01,Cobb,2133,231,493,315,1,1040,1040,
Sweetwater 01,Cobb,3235,289,865,578,1,1733,1733,
Sweetwater 02,Cobb,3367,308,671,657,17,1653,1653,
