Precinct,County,Registered Voters,"Flynn D. Broady, Jr. (Dem)_Election Day Votes","Flynn D. Broady, Jr. (Dem)_Advanced Voting Votes","Flynn D. Broady, Jr. (Dem)_Absentee by Mail Votes","Flynn D. Broady, Jr. (Dem)_Provisional Votes","Flynn D. Broady, Jr. (Dem)_Choice Total",Joyette Holmes (I) (Rep)_Election Day Votes,Joyette Holmes (I) (Rep)_Advanced Voting Votes,Joyette Holmes (I) (Rep)_Absentee by Mail Votes,Joyette Holmes (I) (Rep)_Provisional Votes,Joyette Holmes (I) (Rep)_Choice Total,Total,
Acworth 1A,Cobb,5458,213,807,840,2,1862,274,1124,660,1,2059,3921,
Acworth 1B,Cobb,5214,267,696,595,3,1561,420,993,603,2,2018,3579,
Acworth 1C,Cobb,5110,284,1044,752,10,2090,216,745,355,0,1316,3406,
Addison 01,Cobb,2444,132,307,462,1,902,236,392,386,0,1014,1916,
Austell 1A,Cobb,5329,364,1229,896,9,2498,172,328,251,3,754,3252,
Bells Ferry 02,Cobb,3127,164,392,459,1,1016,315,533,371,1,1220,2236,
Bells Ferry 03,Cobb,2436,194,297,325,1,817,275,337,210,2,824,1641,
Bells Ferry 04,Cobb,3646,201,451,452,3,1107,464,639,430,2,1535,2642,
Big Shanty 01,Cobb,2385,140,284,252,1,677,226,378,290,5,899,1576,
Big Shanty 02,Cobb,3236,185,432,485,1,1103,305,604,417,3,1329,2432,
Baker 01,Cobb,4773,300,938,601,6,1845,355,740,350,3,1448,3293,
Birney 01,Cobb,2727,214,451,396,5,1066,139,259,298,6,702,1768,
Birney 02,Cobb,3894,183,816,756,4,1759,200,463,444,0,1107,2866,
Bryant 01,Cobb,2142,178,663,449,2,1292,36,86,48,1,171,1463,
Bryant 02,Cobb,6209,512,1389,736,6,2643,82,200,115,1,398,3041,
Blackwell 01,Cobb,2698,173,341,478,0,992,227,469,315,3,1014,2006,
Chattahoochee 01,Cobb,5969,399,1339,889,3,2630,289,574,323,4,1190,3820,
Cheatham Hill 02,Cobb,3085,117,375,413,0,905,317,724,517,1,1559,2464,
Cheatham Hill 03,Cobb,4029,133,676,619,0,1428,335,871,611,1,1818,3246,
Chalker 01,Cobb,6065,475,1099,723,2,2299,339,670,483,1,1493,3792,
Clarkdale 01,Cobb,1937,117,323,281,2,723,122,212,176,1,511,1234,
Clarkdale 02,Cobb,5372,430,1206,795,5,2436,281,533,340,0,1154,3590,
Cooper 01,Cobb,5252,393,1183,866,4,2446,150,378,291,0,819,3265,
Chestnut Ridge 01,Cobb,3162,118,338,535,0,991,331,637,667,0,1635,2626,
Dickerson 01,Cobb,2828,81,328,550,1,960,272,579,518,3,1372,2332,
Dobbins 01,Cobb,3024,246,399,331,7,983,110,155,125,6,396,1379,
Dobbins 02,Cobb,3984,356,818,481,4,1659,202,342,185,3,732,2391,
Dowell 01,Cobb,3197,162,538,510,4,1214,262,593,398,0,1253,2467,
Dodgen 01,Cobb,2100,86,242,353,1,682,261,395,394,2,1052,1734,
Durham 01,Cobb,4256,91,467,441,1,1000,402,1404,643,1,2450,3450,
Davis 01,Cobb,2093,132,265,327,0,724,326,360,258,0,944,1668,
Eastside 01,Cobb,3040,87,317,548,1,953,349,574,614,3,1540,2493,
Eastside 02,Cobb,4074,121,438,728,1,1288,331,761,916,2,2010,3298,
Elizabeth 01,Cobb,4065,307,771,520,3,1601,245,373,209,2,829,2430,
Elizabeth 02,Cobb,2434,122,300,347,2,771,255,394,429,2,1080,1851,
