Precinct,County,Registered Voters,Carla Jackson (I) (Rep)_Election Day Votes,Carla Jackson (I) (Rep)_Advanced Voting Votes,Carla Jackson (I) (Rep)_Absentee by Mail Votes,Carla Jackson (I) (Rep)_Provisional Votes,Carla Jackson (I) (Rep)_Choice Total,Total,
Acworth 1A,Cobb,5458,408,1583,1069,3,3063,3063,
Acworth 1B,Cobb,5214,585,1415,892,2,2894,2894,
Acworth 1C,Cobb,5110,409,1328,792,5,2534,2534,
Addison 01,Cobb,2444,330,564,636,0,1530,1530,
Austell 1A,Cobb,5329,399,961,702,9,2071,2071,
Bells Ferry 02,Cobb,3127,425,767,615,1,1808,1808,
Bells Ferry 03,Cobb,2436,413,508,377,3,1301,1301,
Bells Ferry 04,Cobb,3646,602,902,671,3,2178,2178,
Big Shanty 01,Cobb,2385,334,567,437,6,1344,1344,
Big Shanty 02,Cobb,3236,424,866,646,3,1939,1939,
Baker 01,Cobb,4773,544,1291,667,5,2507,2507,
Birney 01,Cobb,2727,278,508,510,10,1306,1306,
Birney 02,Cobb,3894,317,939,823,2,2081,2081,
Bryant 01,Cobb,2142,142,419,246,1,808,808,
Bryant 02,Cobb,6209,356,930,484,1,1771,1771,
Blackwell 01,Cobb,2698,351,660,567,3,1581,1581,
Chattahoochee 01,Cobb,5969,542,1382,817,6,2747,2747,
Cheatham Hill 02,Cobb,3085,409,937,728,0,2074,2074,
Cheatham Hill 03,Cobb,4029,416,1233,901,1,2551,2551,
Chalker 01,Cobb,6065,680,1387,854,2,2923,2923,
Clarkdale 01,Cobb,1937,191,384,310,2,887,887,
Clarkdale 02,Cobb,5372,551,1151,740,1,2443,2443,
Cooper 01,Cobb,5252,374,978,726,1,2079,2079,
Chestnut Ridge 01,Cobb,3162,420,825,897,0,2142,2142,
Dickerson 01,Cobb,2828,338,782,782,3,1905,1905,
Dobbins 01,Cobb,3024,268,415,311,9,1003,1003,
Dobbins 02,Cobb,3984,437,838,459,2,1736,1736,
Dowell 01,Cobb,3197,361,894,643,3,1901,1901,
Dodgen 01,Cobb,2100,322,549,549,3,1423,1423,
Durham 01,Cobb,4256,462,1656,891,1,3010,3010,
Davis 01,Cobb,2093,431,509,425,0,1365,1365,
Eastside 01,Cobb,3040,404,753,887,4,2048,2048,
Eastside 02,Cobb,4074,402,1001,1224,2,2629,2629,
Elizabeth 01,Cobb,4065,454,846,493,4,1797,1797,
Elizabeth 02,Cobb,2434,339,566,604,4,1513,1513,
Elizabeth 03,Cobb,2767,385,670,775,1,1831,1831,
Elizabeth 04,Cobb,3011,427,531,539,1,1498,1498,
Elizabeth 05,Cobb,2884,430,691,654,0,1775,1775,
East Piedmont 01,Cobb,2627,401,558,481,1,1441,1441,
Fair Oaks 02,Cobb,5779,559,996,824,6,2385,2385,
Fair Oaks 04,Cobb,5322,615,695,631,3,1944,1944,
Fullers Park 01,Cobb,3452,451,901,913,0,2265,2265,
Ford 01,Cobb,3161,383,1187,626,1,2197,2197,
Frey 01,Cobb,2582,222,1012,478,0,1712,1712,
Garrison Mill 01,Cobb,2872,431,800,625,1,1857,1857,
Gritters 01,Cobb,4033,621,944,835,2,2402,2402,
Harmony-Leland 01,Cobb,6394,342,1499,995,3,2839,2839,
Harrison 01,Cobb,3122,416,1110,647,0,2173,2173,
Hightower 01,Cobb,4262,472,1039,1319,0,2830,2830,
Hayes 01,Cobb,4111,460,1340,894,1,2695,2695,
Kennesaw 1A,Cobb,2499,355,618,331,12,1316,1316,
Kennesaw 2A,Cobb,3944,464,1053,642,3,2162,2162,
Kennesaw 3A,Cobb,6477,554,1580,943,6,3083,3083,
Kennesaw 4A,Cobb,3783,379,1009,722,3,2113,2113,
Kennesaw 5A,Cobb,5855,771,1694,955,1,3421,3421,
Kell 01,Cobb,2006,390,458,431,1,1280,1280,
Kemp 01,Cobb,1960,301,631,451,0,1383,1383,
Kemp 02,Cobb,4049,487,1193,911,5,2596,2596,
Kemp 03,Cobb,3955,586,1396,792,2,2776,2776,
Lassiter 01,Cobb,3647,550,991,903,0,2444,2444,
Lindley 01,Cobb,4797,373,1157,943,0,2473,2473,
Lost Mountain 01,Cobb,3604,268,1371,761,1,2401,2401,
Lost Mountain 02,Cobb,4121,439,1725,855,0,3019,3019,
Lost Mountain 03,Cobb,5387,371,2166,1111,2,3650,3650,
Lost Mountain 04,Cobb,2629,306,946,535,1,1788,1788,
Mableton 01,Cobb,5127,330,1119,999,3,2451,2451,
Mableton 02,Cobb,3330,286,543,506,0,1335,1335,
Mableton 03,Cobb,3010,308,711,595,3,1617,1617,
Mableton 04,Cobb,1581,185,402,383,0,970,970,
Mabry 01,Cobb,1656,276,483,379,4,1142,1142,
Macland 01,Cobb,4213,314,1015,666,1,1996,1996,
Murdock 01,Cobb,4059,550,977,1142,0,2669,2669,
McEachern 01,Cobb,3549,248,960,678,1,1887,1887,
McCleskey 01,Cobb,1736,300,477,400,0,1177,1177,
McClure 01,Cobb,3290,458,1107,612,3,2180,2180,
Marietta 1A,Cobb,4468,437,771,521,5,1734,1734,
Marietta 2A,Cobb,2059,360,538,529,0,1427,1427,
Marietta 2B,Cobb,4447,476,1027,793,3,2299,2299,
Marietta 3A,Cobb,4388,465,1095,908,2,2470,2470,
Marietta 3B,Cobb,2218,165,370,321,0,856,856,
Marietta 4A,Cobb,1956,472,472,500,0,1444,1444,
Marietta 4B,Cobb,2056,267,490,443,0,1200,1200,
Marietta 4C,Cobb,2781,360,903,625,0,1888,1888,
Marietta 5A,Cobb,3324,347,592,470,2,1411,1411,
Marietta 5B,Cobb,3084,317,473,353,3,1146,1146,
Marietta 6A,Cobb,2647,281,493,287,4,1065,1065,
Marietta 6B,Cobb,2910,350,754,681,0,1785,1785,
Marietta 7A,Cobb,3745,299,595,360,3,1257,1257,
Mars Hill 01,Cobb,3633,498,1282,643,2,2425,2425,
Mars Hill 02,Cobb,2916,395,850,495,0,1740,1740,
Mt Bethel 01,Cobb,4125,483,1031,1243,6,2763,2763,
Mt Bethel 03,Cobb,3294,277,966,884,0,2127,2127,
Mt Bethel 04,Cobb,2981,328,751,855,0,1934,1934,
North Cobb 01,Cobb,2317,288,618,391,0,1297,1297,
Nickajack 01,Cobb,4889,367,1194,751,3,2315,2315,
Norton Park 01,Cobb,4922,476,935,914,7,2332,2332,
Nicholson 01,Cobb,2455,400,596,488,0,1484,1484,
Oakdale 01,Cobb,3944,371,949,942,0,2262,2262,
Oregon 01,Cobb,1614,230,539,321,2,1092,1092,
Oregon 02,Cobb,5671,480,1105,994,3,2582,2582,
Oregon 03,Cobb,5713,516,915,746,8,2185,2185,
Oregon 04,Cobb,4673,388,981,814,2,2185,2185,
Oregon 05,Cobb,3846,419,1119,710,1,2249,2249,
Pebblebrook 01,Cobb,5218,399,1022,709,4,2134,2134,
Powers Ferry 01,Cobb,3504,481,790,722,1,1994,1994,
Pine Mountain 01,Cobb,3491,445,1240,756,3,2444,2444,
Pine Mountain 02,Cobb,3127,461,1050,764,2,2277,2277,
Post Oak 01,Cobb,3660,469,1088,883,4,2444,2444,
Pope 01,Cobb,3153,345,873,796,0,2014,2014,
Palmer 01,Cobb,2760,401,678,554,0,1633,1633,
Powders Springs 1A,Cobb,4755,267,1319,885,2,2473,2473,
Powders Springs 2A,Cobb,3536,235,727,451,1,1414,1414,
Powders Springs 3A,Cobb,3991,279,987,553,0,1819,1819,
Pitner 01,Cobb,2814,478,763,487,2,1730,1730,
Rocky Mount 01,Cobb,3390,578,867,734,1,2180,2180,
Riverside 01,Cobb,2133,173,316,192,0,681,681,
Roswell 01,Cobb,5374,626,1417,1585,1,3629,3629,
Roswell 02,Cobb,3701,503,921,1074,3,2501,2501,
Sandy Plains 01,Cobb,2933,412,726,673,0,1811,1811,
Shallowford Falls 01,Cobb,3387,492,886,916,1,2295,2295,
Simpson 01,Cobb,1868,236,551,428,1,1216,1216,
Sewell Mill 01,Cobb,3493,449,877,896,0,2222,2222,
Sewell Mill 03,Cobb,4759,576,927,867,3,2373,2373,
Smyrna 1A,Cobb,4152,421,711,583,1,1716,1716,
Smyrna 2A,Cobb,5539,461,1246,862,2,2571,2571,
Smyrna 3A,Cobb,4573,373,1116,846,3,2338,2338,
Smyrna 3B,Cobb,2496,254,666,544,2,1466,1466,
Smyrna 4A,Cobb,5842,496,1493,1560,5,3554,3554,
Smyrna 5A,Cobb,4319,446,876,750,6,2078,2078,
Smyrna 6A,Cobb,5936,541,1527,1376,5,3449,3449,
Smyrna 7A,Cobb,6378,378,1719,1460,0,3557,3557,
Sope Creek 01,Cobb,2163,343,523,621,1,1488,1488,
Sope Creek 02,Cobb,4729,502,1194,1131,3,2830,2830,
Sope Creek 03,Cobb,2886,418,760,707,0,1885,1885,
Sweetwater 01,Cobb,3235,306,819,498,1,1624,1624,
Sweetwater 02,Cobb,3367,245,494,488,14,1241,1241,
Terrell Mill 01,Cobb,5816,557,1057,862,2,2478,2478,
Timber Ridge 01,Cobb,2448,333,643,682,1,1659,1659,
Vaughan 01,Cobb,3146,427,1177,561,0,2165,2165,
Vinings 01,Cobb,3260,326,759,607,1,1693,1693,
Vinings 02,Cobb,6400,587,1465,1261,5,3318,3318,
Vinings 03,Cobb,4407,326,1122,908,5,2361,2361,
Vinings 04,Cobb,3405,553,766,822,2,2143,2143,
Wade Green 02,Cobb,4718,599,1234,858,1,2692,2692,
Willeo 01,Cobb,2836,437,722,748,1,1908,1908,
