Precinct,County,Registered Voters,Monique Sheffield (Dem)_Election Day Votes,Monique Sheffield (Dem)_Advanced Voting Votes,Monique Sheffield (Dem)_Absentee by Mail Votes,Monique Sheffield (Dem)_Provisional Votes,Monique Sheffield (Dem)_Choice Total,Total,
Austell 1A,Cobb,5329,461,1390,1035,9,2895,2895,
Birney 01,Cobb,2727,280,556,539,10,1385,1385,
Birney 02,Cobb,3894,284,1033,966,5,2288,2288,
Bryant 01,Cobb,2142,199,722,479,3,1403,1403,
Bryant 02,Cobb,6209,568,1522,821,4,2915,2915,
Clarkdale 01,Cobb,1937,174,406,352,2,934,934,
Clarkdale 02,Cobb,5372,566,1476,954,4,3000,3000,
Cooper 01,Cobb,5252,486,1369,1006,3,2864,2864,
Dobbins 02,Cobb,3984,39,95,54,0,188,188,
Fair Oaks 02,Cobb,5779,614,1217,1067,5,2903,2903,
Fair Oaks 04,Cobb,5322,489,590,576,2,1657,1657,
Harmony-Leland 01,Cobb,6394,433,2098,1534,4,4069,4069,
Lindley 01,Cobb,4797,362,1567,1268,0,3197,3197,
Mableton 01,Cobb,5127,348,1365,1182,0,2895,2895,
Mableton 02,Cobb,3330,317,690,592,0,1599,1599,
Mableton 03,Cobb,3010,272,677,604,3,1556,1556,
Mableton 04,Cobb,1581,133,378,389,0,900,900,
Macland 01,Cobb,4213,341,1239,885,2,2467,2467,
McEachern 01,Cobb,3549,225,998,772,1,1996,1996,
Norton Park 01,Cobb,4922,496,949,947,3,2395,2395,
Oregon 02,Cobb,5671,521,1450,1248,1,3220,3220,
Oregon 04,Cobb,4673,422,1147,1068,4,2641,2641,
Pebblebrook 01,Cobb,5218,483,1441,997,4,2925,2925,
Powders Springs 1A,Cobb,4755,275,1507,1131,3,2916,2916,
Powders Springs 2A,Cobb,3536,267,1038,674,3,1982,1982,
Powders Springs 3A,Cobb,3991,312,1257,693,1,2263,2263,
Riverside 01,Cobb,2133,233,486,316,1,1036,1036,
Smyrna 2A,Cobb,5539,196,586,476,0,1258,1258,
Smyrna 3A,Cobb,4573,364,1235,995,2,2596,2596,
Smyrna 3B,Cobb,2496,46,125,122,2,295,295,
Smyrna 4A,Cobb,5842,30,137,180,0,347,347,
Smyrna 5A,Cobb,4319,471,997,888,7,2363,2363,
Smyrna 7A,Cobb,6378,85,637,467,0,1189,1189,
Sweetwater 01,Cobb,3235,289,870,576,1,1736,1736,
Sweetwater 02,Cobb,3367,311,676,660,17,1664,1664,
