Precinct,County,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
Acworth 1A,Cobb,5458,257,1060,598,0,1915,190,813,839,2,1844,39,61,64,1,165,3924,
Acworth 1B,Cobb,5214,395,971,542,2,1910,252,666,624,4,1546,42,61,51,0,154,3610,
Acworth 1C,Cobb,5110,186,672,289,1,1148,265,1044,782,9,2100,53,79,51,0,183,3431,
Addison 01,Cobb,2444,234,357,355,0,946,105,304,463,2,874,37,34,34,0,105,1925,
Austell 1A,Cobb,5329,150,249,178,2,579,357,1267,937,9,2570,38,52,42,2,134,3283,
Bells Ferry 02,Cobb,3127,309,514,331,0,1154,135,378,467,0,980,42,38,40,1,121,2255,
Bells Ferry 03,Cobb,2436,258,309,183,2,752,171,283,336,1,791,38,43,22,0,103,1646,
Bells Ferry 04,Cobb,3646,440,600,389,2,1431,171,437,441,2,1051,56,52,61,1,170,2652,
Big Shanty 01,Cobb,2385,218,355,266,5,844,126,280,246,1,653,28,28,30,0,86,1583,
Big Shanty 02,Cobb,3236,302,571,387,2,1262,165,420,489,1,1075,24,45,34,1,104,2441,
Baker 01,Cobb,4773,340,678,292,3,1313,270,922,620,7,1819,49,72,48,0,169,3301,
Birney 01,Cobb,2727,125,230,267,4,626,200,444,403,6,1053,26,37,29,3,95,1774,
Birney 02,Cobb,3894,173,398,367,1,939,185,838,802,4,1829,26,49,41,0,116,2884,
Bryant 01,Cobb,2142,25,42,25,0,92,182,674,460,2,1318,8,36,14,1,59,1469,
Bryant 02,Cobb,6209,59,102,59,0,220,500,1444,756,6,2706,36,50,29,1,116,3042,
Blackwell 01,Cobb,2698,201,417,280,3,901,162,346,489,0,997,45,46,34,0,125,2023,
Chattahoochee 01,Cobb,5969,260,508,250,2,1020,368,1325,911,3,2607,66,86,63,2,217,3844,
Cheatham Hill 02,Cobb,3085,305,702,460,0,1467,104,356,443,1,904,30,42,30,0,102,2473,
Cheatham Hill 03,Cobb,4029,309,820,545,1,1675,125,663,641,0,1429,35,66,46,0,147,3251,
Chalker 01,Cobb,6065,304,614,421,1,1340,441,1092,749,3,2285,73,71,49,0,193,3818,
Clarkdale 01,Cobb,1937,109,197,147,1,454,120,320,296,1,737,12,21,17,1,51,1242,
Clarkdale 02,Cobb,5372,252,465,269,2,988,418,1232,833,5,2488,43,49,31,0,123,3599,
Cooper 01,Cobb,5252,128,301,237,0,666,390,1204,887,4,2485,34,51,30,0,115,3266,
Chestnut Ridge 01,Cobb,3162,324,619,613,0,1556,103,325,566,0,994,26,37,42,0,105,2655,
Dickerson 01,Cobb,2828,263,560,475,4,1302,70,315,554,1,940,22,37,44,0,103,2345,
Dobbins 01,Cobb,3024,93,131,103,6,333,235,394,344,9,982,33,34,22,0,89,1404,
Dobbins 02,Cobb,3984,185,302,152,1,640,327,806,491,6,1630,46,57,31,1,135,2405,
Dowell 01,Cobb,3197,247,556,344,0,1147,151,540,540,4,1235,30,40,30,0,100,2482,
Dodgen 01,Cobb,2100,249,389,364,2,1004,65,230,366,1,662,30,18,25,0,73,1739,
Durham 01,Cobb,4256,391,1348,600,1,2340,76,457,451,1,985,25,64,44,0,133,3458,
Davis 01,Cobb,2093,308,344,233,0,885,113,268,331,0,712,35,15,28,0,78,1675,
Eastside 01,Cobb,3040,328,562,561,3,1454,84,301,573,1,959,25,21,45,0,91,2504,
Eastside 02,Cobb,4074,307,727,819,2,1855,104,425,774,1,1304,41,52,75,0,168,3327,
Elizabeth 01,Cobb,4065,218,323,173,1,715,295,779,522,3,1599,40,44,40,1,125,2439,
Elizabeth 02,Cobb,2434,241,374,397,3,1015,109,287,359,1,756,28,35,26,0,89,1860,
Elizabeth 03,Cobb,2767,300,444,505,1,1250,101,345,428,1,875,32,27,34,0,93,2218,
Elizabeth 04,Cobb,3011,251,269,227,1,748,225,448,495,0,1168,50,25,35,0,110,2026,
Elizabeth 05,Cobb,2884,326,458,371,0,1155,121,333,534,1,989,44,39,29,0,112,2256,
East Piedmont 01,Cobb,2627,250,312,236,1,799,173,386,410,0,969,43,27,21,0,91,1859,
Fair Oaks 02,Cobb,5779,224,386,298,5,913,466,1035,913,6,2420,58,46,43,0,147,3480,
Fair Oaks 04,Cobb,5322,252,294,255,0,801,488,614,613,8,1723,52,46,34,1,133,2657,
