Precinct,County,Registered Voters,Herb Cranford (I) (Rep)_Election Day Votes,Herb Cranford (I) (Rep)_Advanced Voting Votes,Herb Cranford (I) (Rep)_Absentee by Mail Votes,Herb Cranford (I) (Rep)_Provisional Votes,Herb Cranford (I) (Rep)_Choice Total,Total,
Senoia,Coweta,5838,1107,1997,835,1,3940,3940,
Moreland,Coweta,2758,963,631,360,0,1954,1954,
Pine Road,Coweta,2095,571,540,281,0,1392,1392,
Dresden,Coweta,839,362,122,89,0,573,573,
Newnan,Coweta,3478,499,576,412,0,1487,1487,
Sharpsburg,Coweta,4526,933,1629,506,1,3069,3069,
Fischer Road,Coweta,4328,776,1523,626,2,2927,2927,
Cedar Creek,Coweta,5330,1067,1780,852,0,3699,3699,
Grantville,Coweta,2572,803,429,258,1,1491,1491,
Haralson,Coweta,2339,825,534,257,0,1616,1616,
Welcome,Coweta,3212,1129,548,390,0,2067,2067,
Panther Creek,Coweta,3028,942,573,370,0,1885,1885,
Raymond,Coweta,2492,672,713,333,0,1718,1718,
Turin,Coweta,4477,1117,1490,581,0,3188,3188,
Smokey Road,Coweta,2559,530,474,304,1,1309,1309,
Central,Coweta,4395,523,691,395,3,1612,1612,
Newnan Centre,Coweta,20465,2742,5992,2773,1,11508,11508,
Greentop,Coweta,2846,594,595,462,0,1651,1651,
Expo Center,Coweta,1974,551,420,332,0,1303,1303,
White Oak,Coweta,4636,817,1486,563,1,2867,2867,
Madras,Coweta,4462,841,1382,677,2,2902,2902,
Cannongate,Coweta,3653,885,1167,496,0,2548,2548,
Westside,Coweta,838,180,93,87,0,360,360,
Northside,Coweta,2285,642,432,344,0,1418,1418,
Thomas Crossroads,Coweta,4962,916,1830,583,0,3329,3329,
Coweta Central Library,Coweta,1723,316,668,207,0,1191,1191,
