Precinct,County,Registered Voters,Lenn Wood (I) (Rep)_Election Day Votes,Lenn Wood (I) (Rep)_Advanced Voting Votes,Lenn Wood (I) (Rep)_Absentee by Mail Votes,Lenn Wood (I) (Rep)_Provisional Votes,Lenn Wood (I) (Rep)_Choice Total,Total,
Senoia,Coweta,5838,1120,2023,852,1,3996,3996,
Moreland,Coweta,2758,977,640,374,0,1991,1991,
Pine Road,Coweta,2095,573,543,286,0,1402,1402,
Dresden,Coweta,839,363,124,89,0,576,576,
Newnan,Coweta,3478,519,605,451,0,1575,1575,
Sharpsburg,Coweta,4526,944,1643,524,1,3112,3112,
Fischer Road,Coweta,4328,776,1534,633,2,2945,2945,
Cedar Creek,Coweta,5330,1075,1798,865,0,3738,3738,
Grantville,Coweta,2572,815,440,268,1,1524,1524,
Haralson,Coweta,2339,834,540,256,0,1630,1630,
Welcome,Coweta,3212,1142,555,402,0,2099,2099,
Panther Creek,Coweta,3028,958,581,388,0,1927,1927,
Raymond,Coweta,2492,675,725,344,0,1744,1744,
Turin,Coweta,4477,1130,1506,591,0,3227,3227,
Smokey Road,Coweta,2559,543,489,325,1,1358,1358,
Central,Coweta,4395,541,724,416,3,1684,1684,
Newnan Centre,Coweta,20465,2774,6068,2834,1,11677,11677,
Greentop,Coweta,2846,598,595,470,0,1663,1663,
Expo Center,Coweta,1974,560,429,340,0,1329,1329,
White Oak,Coweta,4636,823,1502,574,1,2900,2900,
Madras,Coweta,4462,844,1393,684,2,2923,2923,
Cannongate,Coweta,3653,889,1165,499,0,2553,2553,
Westside,Coweta,838,189,99,92,0,380,380,
Northside,Coweta,2285,660,439,359,0,1458,1458,
Thomas Crossroads,Coweta,4962,922,1843,588,0,3353,3353,
Coweta Central Library,Coweta,1723,317,674,211,0,1202,1202,
