County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total Votes
Appling,11399.0,1753.0,3874.0,890.0,9.0,6526.0,334.0,855.0,587.0,3.0,1779.0,5.0,26.0,5.0,0.0,36.0,8341.0
Atkinson,4799.0,716.0,1419.0,164.0,1.0,2300.0,250.0,445.0,130.0,0.0,825.0,14.0,13.0,3.0,0.0,30.0,3155.0
Bacon,6720.0,431.0,3099.0,487.0,1.0,4018.0,140.0,288.0,196.0,1.0,625.0,8.0,13.0,4.0,0.0,25.0,4668.0
Baker,2258.0,291.0,466.0,138.0,2.0,897.0,149.0,269.0,234.0,0.0,652.0,2.0,2.0,2.0,0.0,6.0,1555.0
Baldwin,26721.0,1873.0,5736.0,1290.0,4.0,8903.0,1527.0,4612.0,3000.0,1.0,9140.0,63.0,107.0,38.0,0.0,208.0,18251.0
Banks,12898.0,1644.0,5116.0,1025.0,10.0,7795.0,150.0,435.0,344.0,3.0,932.0,20.0,45.0,9.0,0.0,74.0,8801.0
Barrow,55605.0,5885.0,16782.0,4134.0,3.0,26804.0,1717.0,5150.0,3583.0,3.0,10453.0,226.0,307.0,131.0,0.0,664.0,37921.0
Bartow,74409.0,10179.0,21499.0,5976.0,20.0,37674.0,2175.0,5423.0,4486.0,8.0,12092.0,276.0,275.0,148.0,2.0,701.0,50467.0
Ben Hill,9854.0,441.0,3140.0,528.0,1.0,4110.0,336.0,1342.0,714.0,0.0,2392.0,18.0,32.0,8.0,0.0,58.0,6560.0
Berrien,11275.0,1835.0,3825.0,749.0,10.0,6419.0,333.0,568.0,367.0,1.0,1269.0,21.0,25.0,9.0,0.0,55.0,7743.0
Bibb,107979.0,7922.0,13234.0,5375.0,54.0,26585.0,8704.0,20384.0,14264.0,116.0,43468.0,299.0,273.0,174.0,3.0,749.0,70802.0
Bleckley,0.0,942.0,2770.0,614.0,2.0,4328.0,295.0,588.0,428.0,0.0,1311.0,20.0,37.0,10.0,0.0,67.0,5706.0
Brantley,11888.0,1992.0,4307.0,685.0,7.0,6991.0,145.0,349.0,204.0,1.0,699.0,24.0,21.0,11.0,0.0,56.0,7746.0
Brooks,11154.0,1423.0,2312.0,519.0,6.0,4260.0,522.0,1149.0,1115.0,4.0,2790.0,16.0,25.0,9.0,0.0,50.0,7100.0
Bryan,30608.0,2579.0,10072.0,1588.0,5.0,14244.0,838.0,3794.0,2105.0,2.0,6739.0,108.0,177.0,72.0,0.0,357.0,21340.0
Bulloch,44738.0,6653.0,8910.0,2800.0,23.0,18386.0,2415.0,5263.0,3530.0,35.0,11243.0,192.0,175.0,87.0,1.0,455.0,30084.0
Burke,16556.0,1949.0,2802.0,649.0,0.0,5400.0,1490.0,1852.0,1867.0,0.0,5209.0,25.0,36.0,14.0,0.0,75.0,10684.0
Butts,17154.0,824.0,6443.0,1137.0,2.0,8406.0,376.0,1924.0,973.0,1.0,3274.0,22.0,49.0,20.0,0.0,91.0,11771.0
Calhoun,3184.0,279.0,494.0,150.0,0.0,923.0,361.0,463.0,436.0,0.0,1260.0,6.0,2.0,3.0,0.0,11.0,2194.0
