Precinct,County,Registered Voters,Edward C. Newsome (Rep)_Election Day Votes,Edward C. Newsome (Rep)_Advanced Voting Votes,Edward C. Newsome (Rep)_Absentee by Mail Votes,Edward C. Newsome (Rep)_Provisional Votes,Edward C. Newsome (Rep)_Choice Total,Total,
Greenbriar Church,Dougherty,3885,566,1046,614,6,2232,2232,
Westover High School,Dougherty,3394,534,830,480,0,1844,1844,
Darton College,Dougherty,4289,177,311,132,2,622,622,
Christ Church,Dougherty,1879,501,435,260,0,1196,1196,
1st Christian Church,Dougherty,1505,321,338,204,1,864,864,
