Precinct,County,Registered Voters,Geraldine West Hudley (Dem)_Election Day Votes,Geraldine West Hudley (Dem)_Advanced Voting Votes,Geraldine West Hudley (Dem)_Absentee by Mail Votes,Geraldine West Hudley (Dem)_Provisional Votes,Geraldine West Hudley (Dem)_Choice Total,Total,
Palmyra Methodist,Dougherty,2761,431,467,330,6,1234,1234,
Sherwood Elementary,Dougherty,3205,548,672,416,1,1637,1637,
Covenant Church,Dougherty,2334,453,426,288,1,1168,1168,
Greenbriar Church,Dougherty,3885,496,1076,734,6,2312,2312,
Westover High School,Dougherty,3394,528,942,555,0,2025,2025,
Merry Acres Middle,Dougherty,2432,421,521,335,9,1286,1286,
Darton College,Dougherty,4289,564,1073,678,8,2323,2323,
Westtown Elementary,Dougherty,3265,519,628,680,1,1828,1828,
2nd Mt Zion Church,Dougherty,1465,284,240,223,2,749,749,
Mt Zion Center,Dougherty,3638,557,560,621,2,1740,1740,
Alice Coachman Elementary,Dougherty,750,130,166,202,0,498,498,
Carver Teen Center,Dougherty,1667,231,149,234,3,617,617,
Shiloh Baptist Church,Dougherty,1510,265,184,220,0,669,669,
Litman Cathedral,Dougherty,1486,242,191,205,23,661,661,
Phoebe Healthworks,Dougherty,1574,210,165,194,1,570,570,
Turner Elementary,Dougherty,1205,118,75,71,6,270,270,
Jackson Heights Elementary,Dougherty,2549,392,313,363,0,1068,1068,
Bill Miller Center,Dougherty,2404,361,390,299,5,1055,1055,
Radium Middle School,Dougherty,693,133,133,94,0,360,360,
Putney 1st Baptist Church,Dougherty,2819,547,446,377,1,1371,1371,
International Studies,Dougherty,1042,161,219,206,1,587,587,
Phoebe East,Dougherty,2965,515,402,394,3,1314,1314,
Pine Bluff Baptist Church,Dougherty,2221,389,371,372,0,1132,1132,
Albany Middle School,Dougherty,1963,349,270,261,3,883,883,
Christ Church,Dougherty,1879,375,467,318,1,1161,1161,
Lamar Reese Elementary,Dougherty,1098,180,202,267,6,655,655,
1st Christian Church,Dougherty,1505,294,326,207,1,828,828,
Lovett Hall,Dougherty,1174,195,166,32,1,394,394,
