Precinct,County,Registered Voters,Gloria Gaines (I) (Dem)_Election Day Votes,Gloria Gaines (I) (Dem)_Advanced Voting Votes,Gloria Gaines (I) (Dem)_Absentee by Mail Votes,Gloria Gaines (I) (Dem)_Provisional Votes,Gloria Gaines (I) (Dem)_Choice Total,Total,
Darton College,Dougherty,4289,374,712,502,2,1590,1590,
Westtown Elementary,Dougherty,3265,522,632,675,0,1829,1829,
2nd Mt Zion Church,Dougherty,1465,283,240,224,2,749,749,
Carver Teen Center,Dougherty,1667,169,105,174,0,448,448,
Shiloh Baptist Church,Dougherty,1510,124,80,103,0,307,307,
Litman Cathedral,Dougherty,1486,243,193,203,22,661,661,
