Precinct,County,Registered Voters,Clinton Johnson (I) (Dem)_Election Day Votes,Clinton Johnson (I) (Dem)_Advanced Voting Votes,Clinton Johnson (I) (Dem)_Absentee by Mail Votes,Clinton Johnson (I) (Dem)_Provisional Votes,Clinton Johnson (I) (Dem)_Choice Total,Total,
Shiloh Baptist Church,Dougherty,1510,141,100,115,0,356,356,
Phoebe Healthworks,Dougherty,1574,205,166,189,0,560,560,
Turner Elementary,Dougherty,1205,25,34,22,0,81,81,
Jackson Heights Elementary,Dougherty,2549,391,310,353,0,1054,1054,
Albany Middle School,Dougherty,1963,349,272,257,1,879,879,
Lovett Hall,Dougherty,1174,193,165,27,1,386,386,
