Precinct,County,Registered Voters,Leisa Green Johnson_Election Day Votes,Leisa Green Johnson_Advanced Voting Votes,Leisa Green Johnson_Absentee by Mail Votes,Leisa Green Johnson_Provisional Votes,Leisa Green Johnson_Choice Total,Total,
Palmyra Methodist,Dougherty,2761,419,466,325,9,1219,1219,
Sherwood Elementary,Dougherty,3205,528,641,407,1,1577,1577,
Covenant Church,Dougherty,2334,450,418,278,2,1148,1148,
Greenbriar Church,Dougherty,3885,522,1093,729,7,2351,2351,
Westover High School,Dougherty,3394,523,938,546,0,2007,2007,
Merry Acres Middle,Dougherty,2432,422,511,336,9,1278,1278,
Darton College,Dougherty,4289,547,1019,636,6,2208,2208,
Westtown Elementary,Dougherty,3265,490,582,630,1,1703,1703,
2nd Mt Zion Church,Dougherty,1465,286,249,215,2,752,752,
Mt Zion Center,Dougherty,3638,495,490,573,2,1560,1560,
Alice Coachman Elementary,Dougherty,750,116,151,189,0,456,456,
Carver Teen Center,Dougherty,1667,205,133,221,1,560,560,
Shiloh Baptist Church,Dougherty,1510,240,160,195,0,595,595,
Litman Cathedral,Dougherty,1486,218,167,188,21,594,594,
Phoebe Healthworks,Dougherty,1574,191,152,179,1,523,523,
Turner Elementary,Dougherty,1205,109,67,66,6,248,248,
Jackson Heights Elementary,Dougherty,2549,344,287,320,0,951,951,
Bill Miller Center,Dougherty,2404,332,361,268,5,966,966,
Radium Middle School,Dougherty,693,131,122,91,0,344,344,
Putney 1st Baptist Church,Dougherty,2819,558,441,366,1,1366,1366,
International Studies,Dougherty,1042,151,206,193,0,550,550,
Phoebe East,Dougherty,2965,493,386,386,4,1269,1269,
Pine Bluff Baptist Church,Dougherty,2221,384,358,358,0,1100,1100,
Albany Middle School,Dougherty,1963,315,250,233,2,800,800,
Christ Church,Dougherty,1879,428,473,311,1,1213,1213,
Lamar Reese Elementary,Dougherty,1098,164,188,243,4,599,599,
1st Christian Church,Dougherty,1505,291,319,218,1,829,829,
Lovett Hall,Dougherty,1174,185,158,26,1,370,370,
