Precinct,County,Registered Voters,James C. Bush (I) (Dem)_Election Day Votes,James C. Bush (I) (Dem)_Advanced Voting Votes,James C. Bush (I) (Dem)_Absentee by Mail Votes,James C. Bush (I) (Dem)_Provisional Votes,James C. Bush (I) (Dem)_Choice Total,Total,
Darton College,Dougherty,4289,369,713,496,2,1580,1580,
Westtown Elementary,Dougherty,3265,524,638,669,0,1831,1831,
2nd Mt Zion Church,Dougherty,1465,283,241,220,2,746,746,
Carver Teen Center,Dougherty,1667,169,105,170,0,444,444,
Shiloh Baptist Church,Dougherty,1510,122,82,104,0,308,308,
Litman Cathedral,Dougherty,1486,245,190,203,22,660,660,
