Precinct,County,Registered Voters,Renee B. Godwin (I) (Dem)_Election Day Votes,Renee B. Godwin (I) (Dem)_Advanced Voting Votes,Renee B. Godwin (I) (Dem)_Absentee by Mail Votes,Renee B. Godwin (I) (Dem)_Provisional Votes,Renee B. Godwin (I) (Dem)_Choice Total,Total,
Mirror Lake Elementary,Douglas,6745,645,1641,1066,4,3356,3356,
Winston,Douglas,1911,187,503,212,2,904,904,
Dog River Library,Douglas,4915,257,1145,506,0,1908,1908,
Atlanta West Pentecostal,Douglas,4076,434,1006,547,1,1988,1988,
Ephesus Baptist Church,Douglas,3930,335,735,366,0,1436,1436,
Prays Mill Gym,Douglas,5459,385,1289,711,0,2385,2385,
Turner,Douglas,3847,398,896,533,0,1827,1827,
First Baptist Lithia Springs,Douglas,1966,203,409,279,6,897,897,
Lithia Springs High School,Douglas,6033,414,1983,1160,1,3558,3558,
Deer Lick,Douglas,3042,205,781,373,1,1360,1360,
Golden Methodist Church,Douglas,5634,485,1696,960,3,3144,3144,
Old Courthouse,Douglas,5675,405,1327,780,4,2516,2516,
Beulah Baptist Church,Douglas,3500,337,782,429,1,1549,1549,
Stewart,Douglas,3208,349,918,518,1,1786,1786,
Arbor Station,Douglas,2990,314,779,401,8,1502,1502,
Bright Star,Douglas,2703,256,559,353,0,1168,1168,
Dorsett Shoals,Douglas,3901,361,781,484,1,1627,1627,
Chapel Hill,Douglas,4016,321,1345,725,6,2397,2397,
Church At Chapel Hill,Douglas,6353,435,2134,1037,0,3606,3606,
Chestnut Log,Douglas,5177,353,1253,658,4,2268,2268,
St Julians Episcopal,Douglas,2253,211,444,329,0,984,984,
Lutheran Church-GS,Douglas,4149,280,1283,719,1,2283,2283,
First Baptist Douglasville,Douglas,2478,152,684,456,0,1292,1292,
Factory Shoals,Douglas,4359,275,1523,756,0,2554,2554,
Boundary Waters,Douglas,4220,278,1673,665,1,2617,2617,
