Precinct,County,Registered Voters,Tommy Waldrop (I)_Election Day Votes,Tommy Waldrop (I)_Advanced Voting Votes,Tommy Waldrop (I)_Absentee by Mail Votes,Tommy Waldrop (I)_Provisional Votes,Tommy Waldrop (I)_Choice Total,Total,
Mirror Lake Elementary,Douglas,6745,718,1871,1072,4,3665,3665,
Winston,Douglas,1911,211,589,240,1,1041,1041,
Dog River Library,Douglas,4915,417,2104,656,0,3177,3177,
Atlanta West Pentecostal,Douglas,4076,393,918,480,1,1792,1792,
Ephesus Baptist Church,Douglas,3930,573,1452,565,0,2590,2590,
Prays Mill Gym,Douglas,5459,496,1918,848,0,3262,3262,
Turner,Douglas,3847,421,1026,565,0,2012,2012,
First Baptist Lithia Springs,Douglas,1966,222,480,300,7,1009,1009,
Lithia Springs High School,Douglas,6033,392,1888,1054,0,3334,3334,
Deer Lick,Douglas,3042,223,881,383,1,1488,1488,
Golden Methodist Church,Douglas,5634,454,1546,867,3,2870,2870,
Old Courthouse,Douglas,5675,414,1455,836,2,2707,2707,
Beulah Baptist Church,Douglas,3500,388,976,523,1,1888,1888,
Stewart,Douglas,3208,327,856,472,0,1655,1655,
Arbor Station,Douglas,2990,320,831,414,6,1571,1571,
Bright Star,Douglas,2703,324,753,403,1,1481,1481,
Dorsett Shoals,Douglas,3901,437,1069,575,0,2081,2081,
Chapel Hill,Douglas,4016,325,1410,681,6,2422,2422,
Church At Chapel Hill,Douglas,6353,452,2294,1023,0,3769,3769,
Chestnut Log,Douglas,5177,358,1271,633,4,2266,2266,
St Julians Episcopal,Douglas,2253,264,603,364,0,1231,1231,
Lutheran Church-GS,Douglas,4149,313,1412,703,2,2430,2430,
First Baptist Douglasville,Douglas,2478,186,834,519,0,1539,1539,
Factory Shoals,Douglas,4359,283,1551,739,0,2573,2573,
Boundary Waters,Douglas,4220,255,1582,587,0,2424,2424,
