Precinct,County,Registered Voters,Francisco X. R. Artley (Rep)_Election Day Votes,Francisco X. R. Artley (Rep)_Advanced Voting Votes,Francisco X. R. Artley (Rep)_Absentee by Mail Votes,Francisco X. R. Artley (Rep)_Provisional Votes,Francisco X. R. Artley (Rep)_Choice Total,Devetrion Caldwell (I) (Dem)_Election Day Votes,Devetrion Caldwell (I) (Dem)_Advanced Voting Votes,Devetrion Caldwell (I) (Dem)_Absentee by Mail Votes,Devetrion Caldwell (I) (Dem)_Provisional Votes,Devetrion Caldwell (I) (Dem)_Choice Total,Total,
Lithia Springs High School,Douglas,6033,49,190,80,0,319,64,304,218,0,586,905,
Deer Lick,Douglas,3042,107,462,149,0,718,163,629,319,0,1111,1829,
Old Courthouse,Douglas,5675,137,573,297,0,1007,340,1157,703,2,2202,3209,
Beulah Baptist Church,Douglas,3500,84,218,102,0,404,81,241,115,1,438,842,
Stewart,Douglas,3208,6,13,3,0,22,47,81,73,0,201,223,
Chestnut Log,Douglas,5177,117,389,175,1,682,297,1124,624,3,2048,2730,
Lutheran Church-GS,Douglas,4149,52,104,30,0,186,32,211,83,0,326,512,
First Baptist Douglasville,Douglas,2478,119,424,213,0,756,104,558,421,0,1083,1839,
Factory Shoals,Douglas,4359,39,111,32,1,183,64,278,151,0,493,676,
