Precinct,County,Registered Voters,Ed Harbison (I) (Dem)_Election Day Votes,Ed Harbison (I) (Dem)_Advanced Voting Votes,Ed Harbison (I) (Dem)_Absentee by Mail Votes,Ed Harbison (I) (Dem)_Provisional Votes,Ed Harbison (I) (Dem)_Choice Total,Total,
ONeal,Talbot,555,87,141,108,0,336,336,
Valley,Talbot,688,121,144,140,0,405,405,
Junction City,Talbot,437,68,56,104,0,228,228,
Geneva,Talbot,482,69,83,125,1,278,278,
Talbotton,Talbot,884,124,170,218,0,512,512,
Box Springs,Talbot,469,94,56,71,0,221,221,
Flint Hill,Talbot,1048,198,241,202,0,641,641,
