Precinct,County,Registered Voters,Jamie L. Huff (I) (Dem)_Election Day Votes,Jamie L. Huff (I) (Dem)_Advanced Voting Votes,Jamie L. Huff (I) (Dem)_Absentee by Mail Votes,Jamie L. Huff (I) (Dem)_Provisional Votes,Jamie L. Huff (I) (Dem)_Choice Total,Total,
ONeal,Talbot,555,102,167,118,0,387,387,
Valley,Talbot,688,143,182,141,0,466,466,
Junction City,Talbot,437,80,67,125,0,272,272,
Geneva,Talbot,482,82,100,133,1,316,316,
Talbotton,Talbot,884,134,191,234,0,559,559,
Box Springs,Talbot,469,107,62,77,0,246,246,
Flint Hill,Talbot,1048,212,278,214,0,704,704,
