Precinct,County,Registered Voters,Clinton Cosby (I) (Dem)_Election Day Votes,Clinton Cosby (I) (Dem)_Advanced Voting Votes,Clinton Cosby (I) (Dem)_Absentee by Mail Votes,Clinton Cosby (I) (Dem)_Provisional Votes,Clinton Cosby (I) (Dem)_Choice Total,Total,
ONeal,Talbot,555,97,158,112,0,367,367,
Valley,Talbot,688,144,173,147,0,464,464,
Junction City,Talbot,437,75,70,125,0,270,270,
Geneva,Talbot,482,80,99,128,1,308,308,
Talbotton,Talbot,884,131,193,231,0,555,555,
Box Springs,Talbot,469,108,61,75,0,244,244,
Flint Hill,Talbot,1048,206,262,209,0,677,677,
