Precinct,County,Registered Voters,Sherrell Terry (Dem)_Election Day Votes,Sherrell Terry (Dem)_Advanced Voting Votes,Sherrell Terry (Dem)_Absentee by Mail Votes,Sherrell Terry (Dem)_Provisional Votes,Sherrell Terry (Dem)_Choice Total,Logan Willis (Ind)_Election Day Votes,Logan Willis (Ind)_Advanced Voting Votes,Logan Willis (Ind)_Absentee by Mail Votes,Logan Willis (Ind)_Provisional Votes,Logan Willis (Ind)_Choice Total,Total,
ONeal,Talbot,555,64,108,102,0,274,45,67,17,0,129,403,
Valley,Talbot,688,95,120,114,0,329,57,70,44,0,171,500,
Junction City,Talbot,437,53,43,106,0,202,26,27,28,0,81,283,
Geneva,Talbot,482,57,49,110,1,217,25,61,29,0,115,332,
Talbotton,Talbot,884,103,149,190,0,442,31,63,71,0,165,607,
Box Springs,Talbot,469,65,42,68,0,175,54,28,14,0,96,271,
Flint Hill,Talbot,1048,168,211,200,0,579,51,91,25,0,167,746,
