Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Colbert,Madison,3342,412,865,296,1,1574,179,362,139,0,680,2254,
Collins,Madison,647,133,130,38,0,301,66,52,23,0,141,442,
Comer,Madison,1441,244,341,182,0,767,72,129,49,0,250,1017,
Danielsville,Madison,3003,239,893,256,0,1388,80,398,137,0,615,2003,
Fork,Madison,566,117,98,41,0,256,69,29,25,0,123,379,
Harrison,Madison,610,157,116,38,0,311,79,40,24,0,143,454,
Hull,Madison,4376,546,1049,446,1,2042,180,401,176,0,757,2799,
Ila,Madison,1746,255,375,154,0,784,78,195,68,0,341,1125,
Mill,Madison,1646,245,450,122,1,818,87,174,67,0,328,1146,
Paoli,Madison,267,75,51,22,0,148,28,20,12,0,60,208,
Pittman,Madison,1949,305,439,224,0,968,113,197,90,0,400,1368,
Poca,Madison,1127,213,232,106,0,551,85,103,31,0,219,770,
