Precinct,County,Registered Voters,Todd Higdon (Rep)_Election Day Votes,Todd Higdon (Rep)_Advanced Voting Votes,Todd Higdon (Rep)_Absentee by Mail Votes,Todd Higdon (Rep)_Provisional Votes,Todd Higdon (Rep)_Choice Total,Total,
Colbert,Madison,3342,540,1117,318,1,1976,1976,
Collins,Madison,647,187,177,54,0,418,418,
Comer,Madison,1441,290,421,123,0,834,834,
Danielsville,Madison,3003,318,1217,326,0,1861,1861,
Fork,Madison,566,176,101,43,0,320,320,
Harrison,Madison,610,240,153,58,0,451,451,
Hull,Madison,4376,668,1266,491,0,2425,2425,
Ila,Madison,1746,315,547,198,0,1060,1060,
Mill,Madison,1646,331,612,162,1,1106,1106,
Paoli,Madison,267,107,67,28,0,202,202,
Pittman,Madison,1949,401,598,257,0,1256,1256,
Poca,Madison,1127,289,325,112,0,726,726,
