Precinct,County,Registered Voters,Katie Cross (I) (Rep)_Election Day Votes,Katie Cross (I) (Rep)_Advanced Voting Votes,Katie Cross (I) (Rep)_Absentee by Mail Votes,Katie Cross (I) (Rep)_Provisional Votes,Katie Cross (I) (Rep)_Choice Total,Total,
Colbert,Madison,3342,548,1154,337,1,2040,2040,
Collins,Madison,647,195,183,54,0,432,432,
Comer,Madison,1441,295,428,141,0,864,864,
Danielsville,Madison,3003,327,1282,337,0,1946,1946,
Fork,Madison,566,183,103,45,0,331,331,
Harrison,Madison,610,243,158,57,0,458,458,
Hull,Madison,4376,685,1298,509,0,2492,2492,
Ila,Madison,1746,323,567,207,0,1097,1097,
Mill,Madison,1646,342,628,169,1,1140,1140,
Paoli,Madison,267,105,68,28,0,201,201,
Pittman,Madison,1949,410,617,260,0,1287,1287,
Poca,Madison,1127,295,329,119,0,743,743,
