Precinct,County,Registered Voters,Parks White (I) (Rep)_Election Day Votes,Parks White (I) (Rep)_Advanced Voting Votes,Parks White (I) (Rep)_Absentee by Mail Votes,Parks White (I) (Rep)_Provisional Votes,Parks White (I) (Rep)_Choice Total,Total,
Colbert,Madison,3342,541,1116,309,1,1967,1967,
Collins,Madison,647,198,175,55,0,428,428,
Comer,Madison,1441,287,421,128,0,836,836,
Danielsville,Madison,3003,317,1257,340,0,1914,1914,
Fork,Madison,566,183,96,42,0,321,321,
Harrison,Madison,610,241,155,55,0,451,451,
Hull,Madison,4376,673,1288,501,1,2463,2463,
Ila,Madison,1746,320,567,193,0,1080,1080,
Mill,Madison,1646,337,612,163,1,1113,1113,
Paoli,Madison,267,103,68,27,0,198,198,
Pittman,Madison,1949,407,602,261,0,1270,1270,
Poca,Madison,1127,299,324,115,0,738,738,
