index,County,Precinct,Registered Voters,Jerry Pope (I) (Rep)_Election Day Votes,Jerry Pope (I) (Rep)_Advanced Voting Votes,Jerry Pope (I) (Rep)_Absentee by Mail Votes,Jerry Pope (I) (Rep)_Provisional Votes,Jerry Pope (I) (Rep)_Choice Total,Total,
0,Ware,200A,2730,242,885,211,6,1344,1344,
1,Ware,200B,976,66,182,90,3,341,341,
2,Ware,400,3538,266,994,277,5,1542,1542,
