index,County,Precinct,Registered Voters,Roger E. Collins (I) (Rep)_Election Day Votes,Roger E. Collins (I) (Rep)_Advanced Voting Votes,Roger E. Collins (I) (Rep)_Absentee by Mail Votes,Roger E. Collins (I) (Rep)_Provisional Votes,Roger E. Collins (I) (Rep)_Choice Total,Total,
0,Ware,100,4740,238,801,665,5,1709,1709,
1,Ware,200A,2730,244,907,217,5,1373,1373,
2,Ware,200B,976,65,204,99,3,371,371,
3,Ware,300,4061,425,1569,426,7,2427,2427,
4,Ware,304,1269,195,435,84,1,715,715,
5,Ware,400,3538,416,1541,371,6,2334,2334,
6,Ware,404,373,158,72,35,1,266,266,
7,Ware,405,636,206,195,50,1,452,452,
8,Ware,406,1659,301,694,121,1,1117,1117,
9,Ware,407,505,204,115,30,0,349,349,
10,Ware,408,523,208,124,26,0,358,358,
11,Ware,409,984,225,357,76,0,658,658,
