Precinct,County,Registered Voters,Brandon Bryson (I) (Rep)_Election Day Votes,Brandon Bryson (I) (Rep)_Advanced Voting Votes,Brandon Bryson (I) (Rep)_Absentee by Mail Votes,Brandon Bryson (I) (Rep)_Provisional Votes,Brandon Bryson (I) (Rep)_Choice Total,Total,
Adairsville,Bartow,6995,903,2671,644,1,4219,4219,
Allatoona,Bartow,4729,630,1300,379,0,2309,2309,
Cartersville East,Bartow,6805,734,2106,803,1,3644,3644,
Cartersville West,Bartow,8129,720,3234,1052,1,5007,5007,
Cassville,Bartow,4588,511,1495,796,2,2804,2804,
Center,Bartow,4007,742,1386,484,2,2614,2614,
Emerson,Bartow,3122,639,818,317,1,1775,1775,
Euharlee,Bartow,5322,951,1874,498,1,3324,3324,
Folsom,Bartow,1448,422,381,131,0,934,934,
Hamilton Crossing,Bartow,6598,815,2424,475,1,3715,3715,
Kingston,Bartow,2674,687,729,272,0,1688,1688,
Mission Road,Bartow,4012,502,1440,447,3,2392,2392,
Pine Log,Bartow,2132,671,552,229,0,1452,1452,
Taylorsville,Bartow,2829,824,829,293,0,1946,1946,
White,Bartow,2723,696,787,280,1,1764,1764,
Zena Drive,Bartow,6431,685,1766,631,5,3087,3087,
Woodland,Bartow,1865,342,568,224,1,1135,1135,
