Precinct,County,Registered Voters,Anna V. Sullivan (I) (Rep)_Election Day Votes,Anna V. Sullivan (I) (Rep)_Advanced Voting Votes,Anna V. Sullivan (I) (Rep)_Absentee by Mail Votes,Anna V. Sullivan (I) (Rep)_Provisional Votes,Anna V. Sullivan (I) (Rep)_Choice Total,Total,
Adairsville,Bartow,6995,897,2655,642,1,4195,4195,
Folsom,Bartow,1448,418,378,128,0,924,924,
Kingston,Bartow,2674,688,718,258,0,1664,1664,
